Month,Day,Interval,Service Level,Call Volume,Abandoned Calls,Abandoned Rate,CCT,client,outlier_column
April,4,10:30:00,0.7158,288.0,10.0,0.0347,329.31,B,Abandoned Calls
April,4,11:00:00,0.4771,317.0,11.0,0.0347,331.05,B,Abandoned Calls
April,4,14:00:00,0.7225,432.0,14.0,0.0324,348.68,B,Abandoned Calls
April,5,13:00:00,0.6735,358.0,18.0,0.0503,317.96,B,Abandoned Calls
April,5,13:30:00,0.7867,313.0,13.0,0.0415,314.83,B,Abandoned Calls
April,5,14:00:00,0.4543,339.0,22.0,0.0649,340.85,B,Abandoned Calls
April,5,14:30:00,0.5952,347.0,11.0,0.0317,339.52,B,Abandoned Calls
April,5,19:00:00,0.5122,216.0,11.0,0.0509,344.68,B,Abandoned Calls
April,7,10:30:00,0.6523,338.0,13.0,0.0385,373.69,B,Abandoned Calls
April,7,12:30:00,0.7932,451.0,11.0,0.0244,345.95,B,Abandoned Calls
April,7,13:00:00,0.6822,459.0,9.0,0.0196,354.83,B,Abandoned Calls
April,7,13:30:00,0.5267,449.0,18.0,0.0401,323.13,B,Abandoned Calls
April,7,14:00:00,0.7069,491.0,10.0,0.0204,330.77,B,Abandoned Calls
April,7,16:30:00,0.6626,504.0,15.0,0.0298,374.84,B,Abandoned Calls
April,8,10:30:00,0.6245,294.0,17.0,0.0578,337.06,B,Abandoned Calls
April,9,10:30:00,0.5231,286.0,26.0,0.0909,328.8,B,Abandoned Calls
April,11,11:30:00,0.4692,418.0,45.0,0.1077,354.23,B,Abandoned Calls
April,11,12:00:00,0.4447,471.0,55.0,0.1168,316.81,B,Abandoned Calls
April,11,12:30:00,0.584,412.0,13.0,0.0316,347.91,B,Abandoned Calls
April,11,13:00:00,0.7432,417.0,12.0,0.0288,331.92,B,Abandoned Calls
April,11,16:30:00,0.8657,437.0,20.0,0.0458,343.52,B,Abandoned Calls
April,12,13:00:00,0.4805,292.0,36.0,0.1233,359.95,B,Abandoned Calls
April,12,13:30:00,0.4958,285.0,47.0,0.1649,349.72,B,Abandoned Calls
April,12,14:00:00,0.5019,307.0,40.0,0.1303,359.29,B,Abandoned Calls
April,12,14:30:00,0.5559,311.0,25.0,0.0804,333.23,B,Abandoned Calls
April,12,18:00:00,0.7399,235.0,12.0,0.0511,364.03,B,Abandoned Calls
April,12,18:30:00,0.5025,217.0,14.0,0.0645,342.45,B,Abandoned Calls
April,13,12:30:00,0.7132,145.0,9.0,0.0621,294.35,B,Abandoned Calls
April,15,15:30:00,0.7556,417.0,12.0,0.0288,330.77,B,Abandoned Calls
April,16,10:30:00,0.72,310.0,10.0,0.0323,332.59,B,Abandoned Calls
April,18,14:30:00,0.6738,432.0,12.0,0.0278,353.75,B,Abandoned Calls
April,21,10:30:00,0.7452,327.0,13.0,0.0398,314.12,B,Abandoned Calls
April,21,13:30:00,0.8275,396.0,25.0,0.0631,376.49,B,Abandoned Calls
April,21,14:00:00,0.5039,464.0,79.0,0.1703,377.01,B,Abandoned Calls
April,21,14:30:00,0.5352,448.0,121.0,0.2701,340.68,B,Abandoned Calls
April,21,15:00:00,0.4674,504.0,74.0,0.1468,390.85,B,Abandoned Calls
April,21,15:30:00,0.6457,486.0,9.0,0.0185,360.02,B,Abandoned Calls
April,22,10:30:00,0.4785,332.0,29.0,0.0873,333.6,B,Abandoned Calls
April,22,12:30:00,0.6053,377.0,35.0,0.0928,352.58,B,Abandoned Calls
April,22,13:00:00,0.6074,447.0,14.0,0.0313,359.63,B,Abandoned Calls
April,22,17:00:00,0.8029,361.0,11.0,0.0305,368.55,B,Abandoned Calls
April,22,17:30:00,0.5789,400.0,20.0,0.05,381.58,B,Abandoned Calls
April,22,18:00:00,0.5629,335.0,17.0,0.0507,367.98,B,Abandoned Calls
April,23,11:00:00,0.6723,366.0,12.0,0.0328,353.68,B,Abandoned Calls
April,23,11:30:00,0.5255,391.0,18.0,0.046,336.74,B,Abandoned Calls
April,23,12:00:00,0.5315,388.0,23.0,0.0593,345.16,B,Abandoned Calls
April,23,12:30:00,0.5275,396.0,32.0,0.0808,387.35,B,Abandoned Calls
April,23,13:00:00,0.3686,384.0,34.0,0.0885,313.26,B,Abandoned Calls
April,23,13:30:00,0.7074,457.0,23.0,0.0503,334.62,B,Abandoned Calls
April,23,20:30:00,0.7212,178.0,13.0,0.073,327.22,B,Abandoned Calls
April,23,21:00:00,0.6859,167.0,11.0,0.0659,324.33,B,Abandoned Calls
April,25,10:30:00,0.6945,288.0,13.0,0.0451,318.48,B,Abandoned Calls
April,25,11:30:00,0.7514,365.0,11.0,0.0301,351.68,B,Abandoned Calls
April,25,14:00:00,0.718,403.0,20.0,0.0496,333.45,B,Abandoned Calls
April,25,14:30:00,0.523,452.0,18.0,0.0398,336.58,B,Abandoned Calls
April,25,16:00:00,0.6843,446.0,12.0,0.0269,370.07,B,Abandoned Calls
April,25,17:00:00,0.532,363.0,19.0,0.0523,333.97,B,Abandoned Calls
April,26,11:30:00,0.6375,270.0,19.0,0.0704,362.48,B,Abandoned Calls
April,26,12:30:00,0.7739,271.0,10.0,0.0369,334.7,B,Abandoned Calls
April,26,13:00:00,0.7041,313.0,19.0,0.0607,342.1,B,Abandoned Calls
April,26,13:30:00,0.571,343.0,40.0,0.1166,327.02,B,Abandoned Calls
April,26,18:30:00,0.6967,222.0,11.0,0.0495,349.21,B,Abandoned Calls
April,26,20:00:00,0.6014,160.0,12.0,0.075,275.3,B,Abandoned Calls
April,29,15:00:00,0.6978,469.0,9.0,0.0192,313.73,B,Abandoned Calls
May,1,10:30:00,0.7818,324.0,17.0,0.0525,330.11,B,Abandoned Calls
May,2,06:30:00,0.0,10.0,9.0,0.9,217.0,B,Abandoned Calls
May,2,07:30:00,0.5897,50.0,11.0,0.22,269.62,B,Abandoned Calls
May,2,10:30:00,0.5018,324.0,43.0,0.1327,333.68,B,Abandoned Calls
May,2,11:00:00,0.5402,369.0,21.0,0.0569,327.44,B,Abandoned Calls
May,2,11:30:00,0.457,409.0,37.0,0.0905,340.81,B,Abandoned Calls
May,2,12:30:00,0.4359,432.0,42.0,0.0972,348.77,B,Abandoned Calls
May,2,14:00:00,0.6857,512.0,22.0,0.043,364.34,B,Abandoned Calls
May,2,14:30:00,0.7907,493.0,20.0,0.0406,330.18,B,Abandoned Calls
May,2,15:00:00,0.74,509.0,9.0,0.0177,346.02,B,Abandoned Calls
May,2,18:00:00,0.7775,359.0,13.0,0.0362,362.46,B,Abandoned Calls
May,2,18:30:00,0.497,352.0,16.0,0.0455,357.0,B,Abandoned Calls
May,2,19:00:00,0.5953,355.0,14.0,0.0394,340.17,B,Abandoned Calls
May,3,10:30:00,0.5583,223.0,17.0,0.0762,318.63,B,Abandoned Calls
May,3,15:00:00,0.7083,350.0,14.0,0.04,316.96,B,Abandoned Calls
May,3,15:30:00,0.6216,318.0,22.0,0.0692,326.21,B,Abandoned Calls
May,3,16:00:00,0.8197,364.0,9.0,0.0247,327.77,B,Abandoned Calls
May,4,13:30:00,0.7042,224.0,11.0,0.0491,295.59,B,Abandoned Calls
May,4,16:30:00,0.7178,251.0,10.0,0.0398,310.27,B,Abandoned Calls
May,5,10:30:00,0.2911,347.0,31.0,0.0893,337.32,B,Abandoned Calls
May,5,11:30:00,0.7132,417.0,9.0,0.0216,345.46,B,Abandoned Calls
May,5,12:00:00,0.7734,468.0,9.0,0.0192,331.53,B,Abandoned Calls
May,5,12:30:00,0.81,488.0,9.0,0.0184,315.19,B,Abandoned Calls
May,5,13:30:00,0.7515,502.0,11.0,0.0219,331.02,B,Abandoned Calls
May,5,14:30:00,0.7441,562.0,11.0,0.0196,332.91,B,Abandoned Calls
May,5,16:30:00,0.7381,574.0,9.0,0.0157,358.97,B,Abandoned Calls
May,5,18:00:00,0.8448,473.0,9.0,0.019,337.05,B,Abandoned Calls
May,8,01:00:00,0.3929,37.0,9.0,0.2432,263.93,B,Abandoned Calls
May,8,01:30:00,0.125,22.0,14.0,0.6364,207.25,B,Abandoned Calls
May,8,02:00:00,0.0,19.0,14.0,0.7368,123.0,B,Abandoned Calls
May,12,10:30:00,0.5877,340.0,15.0,0.0441,345.16,B,Abandoned Calls
May,14,10:30:00,0.6928,329.0,10.0,0.0304,324.89,B,Abandoned Calls
May,15,10:30:00,0.5754,297.0,12.0,0.0404,348.66,B,Abandoned Calls
May,16,11:30:00,0.6393,350.0,9.0,0.0257,367.07,B,Abandoned Calls
May,16,13:30:00,0.7013,395.0,10.0,0.0253,337.4,B,Abandoned Calls
May,16,14:30:00,0.6459,412.0,11.0,0.0267,323.65,B,Abandoned Calls
May,17,14:30:00,0.5432,303.0,25.0,0.0825,357.39,B,Abandoned Calls
May,17,20:00:00,0.6721,133.0,11.0,0.0827,331.7,B,Abandoned Calls
May,19,11:30:00,0.765,360.0,11.0,0.0306,354.84,B,Abandoned Calls
May,19,12:30:00,0.8284,417.0,15.0,0.036,369.25,B,Abandoned Calls
May,20,13:00:00,0.8946,361.0,10.0,0.0277,349.48,B,Abandoned Calls
May,20,13:30:00,0.6061,389.0,31.0,0.0797,378.23,B,Abandoned Calls
May,21,10:30:00,0.616,278.0,15.0,0.054,341.36,B,Abandoned Calls
May,23,15:00:00,0.9079,407.0,27.0,0.0663,391.41,B,Abandoned Calls
May,23,15:30:00,0.7138,381.0,84.0,0.2205,371.68,B,Abandoned Calls
May,23,16:00:00,0.5813,516.0,67.0,0.1298,324.62,B,Abandoned Calls
May,24,14:00:00,0.637,298.0,17.0,0.057,349.99,B,Abandoned Calls
May,27,13:30:00,0.7057,444.0,9.0,0.0203,316.28,B,Abandoned Calls
May,27,14:00:00,0.6547,466.0,20.0,0.0429,326.42,B,Abandoned Calls
May,27,20:00:00,0.5949,249.0,12.0,0.0482,337.23,B,Abandoned Calls
May,27,21:00:00,0.454,189.0,15.0,0.0794,356.72,B,Abandoned Calls
May,28,13:30:00,0.6698,448.0,24.0,0.0536,330.52,B,Abandoned Calls
May,28,17:00:00,0.8257,376.0,49.0,0.1303,352.21,B,Abandoned Calls
May,28,17:30:00,0.729,390.0,69.0,0.1769,338.99,B,Abandoned Calls
May,28,18:00:00,0.6332,400.0,21.0,0.0525,335.29,B,Abandoned Calls
May,29,11:30:00,0.5272,327.0,14.0,0.0428,321.83,B,Abandoned Calls
May,29,14:30:00,0.5821,482.0,13.0,0.027,317.92,B,Abandoned Calls
May,30,10:00:00,0.475,294.0,14.0,0.0476,328.63,B,Abandoned Calls
May,30,12:00:00,0.7837,428.0,12.0,0.028,337.56,B,Abandoned Calls
May,30,14:30:00,0.5548,447.0,18.0,0.0403,337.93,B,Abandoned Calls
May,30,16:00:00,0.7167,475.0,9.0,0.0189,361.9,B,Abandoned Calls
May,31,10:30:00,0.6091,212.0,15.0,0.0708,279.86,B,Abandoned Calls
May,31,13:00:00,0.7411,293.0,11.0,0.0375,317.95,B,Abandoned Calls
May,31,14:00:00,0.5764,305.0,17.0,0.0557,298.85,B,Abandoned Calls
May,31,20:00:00,0.5625,170.0,10.0,0.0588,294.33,B,Abandoned Calls
June,2,10:30:00,0.7466,373.0,10.0,0.0268,317.25,B,Abandoned Calls
June,2,11:00:00,0.651,413.0,9.0,0.0218,332.9,B,Abandoned Calls
June,2,11:30:00,0.6674,467.0,10.0,0.0214,334.83,B,Abandoned Calls
June,2,13:30:00,0.7,525.0,15.0,0.0286,345.34,B,Abandoned Calls
June,3,09:30:00,0.75,266.0,10.0,0.0376,309.58,B,Abandoned Calls
June,4,10:30:00,0.797,340.0,10.0,0.0294,330.84,B,Abandoned Calls
June,5,15:30:00,0.7593,468.0,11.0,0.0235,349.53,B,Abandoned Calls
June,7,11:30:00,0.7955,278.0,9.0,0.0324,332.11,B,Abandoned Calls
June,7,13:00:00,0.7311,276.0,12.0,0.0435,348.75,B,Abandoned Calls
June,7,13:30:00,0.5915,315.0,9.0,0.0286,335.3,B,Abandoned Calls
June,8,12:30:00,0.6478,170.0,11.0,0.0647,312.51,B,Abandoned Calls
June,11,10:30:00,0.7817,294.0,10.0,0.034,330.35,B,Abandoned Calls
June,11,11:00:00,0.4428,352.0,20.0,0.0568,338.01,B,Abandoned Calls
June,11,11:30:00,0.6011,383.0,17.0,0.0444,332.86,B,Abandoned Calls
June,12,13:30:00,0.5665,362.0,16.0,0.0442,363.58,B,Abandoned Calls
June,13,13:30:00,0.7161,405.0,14.0,0.0346,346.19,B,Abandoned Calls
June,13,14:00:00,0.5933,396.0,10.0,0.0253,354.06,B,Abandoned Calls
June,13,21:00:00,0.6376,158.0,9.0,0.057,353.51,B,Abandoned Calls
June,14,12:30:00,0.6046,276.0,13.0,0.0471,325.1,B,Abandoned Calls
June,14,13:00:00,0.7935,286.0,10.0,0.035,325.82,B,Abandoned Calls
June,14,14:00:00,0.534,338.0,44.0,0.1302,324.15,B,Abandoned Calls
June,14,14:30:00,0.522,313.0,18.0,0.0575,337.01,B,Abandoned Calls
June,14,15:00:00,0.5934,328.0,23.0,0.0701,333.95,B,Abandoned Calls
June,14,20:00:00,0.5357,168.0,28.0,0.1667,337.66,B,Abandoned Calls
June,14,20:30:00,0.4803,139.0,12.0,0.0863,325.99,B,Abandoned Calls
June,16,13:30:00,0.716,497.0,11.0,0.0221,330.99,B,Abandoned Calls
June,18,11:30:00,0.7963,392.0,9.0,0.023,337.19,B,Abandoned Calls
June,18,14:30:00,0.5704,449.0,16.0,0.0356,377.1,B,Abandoned Calls
June,20,11:30:00,0.7119,372.0,11.0,0.0296,334.42,B,Abandoned Calls
June,20,12:00:00,0.566,440.0,16.0,0.0364,344.03,B,Abandoned Calls
June,20,12:30:00,0.6965,414.0,12.0,0.029,325.27,B,Abandoned Calls
June,20,13:30:00,0.72,435.0,10.0,0.023,322.25,B,Abandoned Calls
June,20,14:30:00,0.8289,467.0,11.0,0.0236,315.36,B,Abandoned Calls
June,20,16:00:00,0.6515,523.0,18.0,0.0344,351.67,B,Abandoned Calls
June,20,16:30:00,0.7243,508.0,11.0,0.0217,332.71,B,Abandoned Calls
June,20,17:00:00,0.902,501.0,11.0,0.022,334.43,B,Abandoned Calls
June,20,18:00:00,0.7902,381.0,14.0,0.0367,352.52,B,Abandoned Calls
June,20,18:30:00,0.7013,332.0,14.0,0.0422,319.69,B,Abandoned Calls
June,20,19:00:00,0.5958,319.0,32.0,0.1003,362.69,B,Abandoned Calls
June,20,19:30:00,0.4411,286.0,23.0,0.0804,310.86,B,Abandoned Calls
June,20,20:00:00,0.3116,245.0,46.0,0.1878,341.53,B,Abandoned Calls
June,20,20:30:00,0.2727,226.0,39.0,0.1726,368.28,B,Abandoned Calls
June,20,21:30:00,0.5689,181.0,14.0,0.0773,336.93,B,Abandoned Calls
June,21,08:30:00,0.74,59.0,9.0,0.1525,375.6,B,Abandoned Calls
June,21,10:00:00,0.6814,217.0,13.0,0.0599,333.51,B,Abandoned Calls
June,21,10:30:00,0.6224,217.0,21.0,0.0968,335.64,B,Abandoned Calls
June,21,11:00:00,0.55,275.0,15.0,0.0545,300.19,B,Abandoned Calls
June,21,11:30:00,0.5112,282.0,14.0,0.0496,309.06,B,Abandoned Calls
June,21,12:30:00,0.8491,294.0,9.0,0.0306,313.61,B,Abandoned Calls
June,21,13:30:00,0.8316,300.0,9.0,0.03,320.59,B,Abandoned Calls
June,21,14:00:00,0.7087,318.0,9.0,0.0283,310.43,B,Abandoned Calls
June,23,11:30:00,0.8105,389.0,9.0,0.0231,367.28,B,Abandoned Calls
June,23,12:30:00,0.7864,438.0,12.0,0.0274,363.1,B,Abandoned Calls
June,23,13:30:00,0.7183,508.0,11.0,0.0217,366.13,B,Abandoned Calls
June,23,19:00:00,0.7027,343.0,10.0,0.0292,346.58,B,Abandoned Calls
June,26,18:30:00,0.697,308.0,11.0,0.0357,322.56,B,Abandoned Calls
June,26,22:00:00,0.7273,131.0,10.0,0.0763,280.44,B,Abandoned Calls
June,27,11:30:00,0.5314,316.0,13.0,0.0411,338.08,B,Abandoned Calls
June,27,16:30:00,0.8118,381.0,9.0,0.0236,356.14,B,Abandoned Calls
June,28,12:00:00,0.5502,239.0,10.0,0.0418,314.77,B,Abandoned Calls
June,28,14:30:00,0.7042,323.0,12.0,0.0372,314.4,B,Abandoned Calls
June,28,18:00:00,0.6982,234.0,12.0,0.0513,330.99,B,Abandoned Calls
June,28,19:00:00,0.5628,210.0,11.0,0.0524,296.41,B,Abandoned Calls
June,28,19:30:00,0.5438,173.0,13.0,0.0751,306.75,B,Abandoned Calls
June,28,20:00:00,0.5248,154.0,13.0,0.0844,326.06,B,Abandoned Calls
June,28,22:00:00,0.5231,74.0,9.0,0.1216,304.8,B,Abandoned Calls
June,30,11:00:00,0.8027,379.0,9.0,0.0237,337.2,B,Abandoned Calls
June,30,12:30:00,0.4543,413.0,30.0,0.0726,341.26,B,Abandoned Calls
June,30,13:00:00,0.6556,459.0,9.0,0.0196,321.09,B,Abandoned Calls
June,30,13:30:00,0.5728,421.0,9.0,0.0214,354.34,B,Abandoned Calls
June,30,14:00:00,0.6912,511.0,9.0,0.0176,327.16,B,Abandoned Calls
June,30,16:30:00,0.7895,470.0,14.0,0.0298,339.61,B,Abandoned Calls
June,30,20:00:00,0.6899,272.0,14.0,0.0515,333.47,B,Abandoned Calls
April,1,13:30:00,0.7764,1065.0,14.0,0.0131,323.85,C,Abandoned Calls
April,1,17:30:00,0.963,955.0,9.0,0.0094,355.31,C,Abandoned Calls
April,1,19:00:00,0.8454,732.0,14.0,0.0191,335.24,C,Abandoned Calls
April,1,22:00:00,0.7283,277.0,12.0,0.0433,333.05,C,Abandoned Calls
April,2,12:30:00,0.8703,1016.0,14.0,0.0138,347.97,C,Abandoned Calls
April,3,09:30:00,0.8829,713.0,13.0,0.0182,312.02,C,Abandoned Calls
April,3,18:30:00,0.6376,726.0,50.0,0.0689,363.48,C,Abandoned Calls
April,3,19:00:00,0.4206,686.0,37.0,0.0539,364.38,C,Abandoned Calls
April,3,19:30:00,0.8275,606.0,9.0,0.0149,367.3,C,Abandoned Calls
April,4,14:00:00,0.9333,1060.0,11.0,0.0104,340.04,C,Abandoned Calls
April,4,14:30:00,0.7186,1048.0,14.0,0.0134,352.02,C,Abandoned Calls
April,5,14:00:00,0.8535,672.0,10.0,0.0149,336.54,C,Abandoned Calls
April,9,10:30:00,0.5449,890.0,22.0,0.0247,333.31,C,Abandoned Calls
April,9,11:30:00,0.7205,904.0,24.0,0.0265,347.62,C,Abandoned Calls
April,9,12:30:00,0.9179,1008.0,9.0,0.0089,363.43,C,Abandoned Calls
April,9,15:30:00,0.8223,949.0,9.0,0.0095,345.24,C,Abandoned Calls
April,9,19:30:00,0.8606,469.0,10.0,0.0213,333.77,C,Abandoned Calls
April,9,20:00:00,0.4362,489.0,19.0,0.0389,394.63,C,Abandoned Calls
April,10,10:30:00,0.7597,864.0,11.0,0.0127,336.79,C,Abandoned Calls
April,10,11:30:00,0.6645,919.0,16.0,0.0174,345.41,C,Abandoned Calls
April,10,14:30:00,0.6116,990.0,9.0,0.0091,346.8,C,Abandoned Calls
April,11,10:30:00,0.859,877.0,12.0,0.0137,330.47,C,Abandoned Calls
April,11,11:30:00,0.5164,948.0,36.0,0.038,335.38,C,Abandoned Calls
April,11,12:00:00,0.3558,1102.0,107.0,0.0971,326.44,C,Abandoned Calls
April,14,10:00:00,0.7764,853.0,21.0,0.0246,346.58,C,Abandoned Calls
April,14,10:30:00,0.7549,947.0,21.0,0.0222,331.42,C,Abandoned Calls
April,14,11:00:00,0.5655,1053.0,15.0,0.0142,350.37,C,Abandoned Calls
April,14,17:00:00,0.6906,979.0,16.0,0.0163,351.74,C,Abandoned Calls
April,14,17:30:00,0.6992,956.0,12.0,0.0126,354.99,C,Abandoned Calls
April,14,18:00:00,0.6131,846.0,19.0,0.0225,366.46,C,Abandoned Calls
April,15,12:00:00,0.9296,1004.0,9.0,0.009,340.59,C,Abandoned Calls
April,15,12:30:00,0.749,1007.0,19.0,0.0189,364.56,C,Abandoned Calls
April,15,13:30:00,0.7845,1003.0,10.0,0.01,360.45,C,Abandoned Calls
April,15,19:30:00,0.8764,551.0,9.0,0.0163,331.41,C,Abandoned Calls
April,16,12:30:00,0.5895,1032.0,21.0,0.0203,360.03,C,Abandoned Calls
April,16,16:30:00,0.8115,911.0,9.0,0.0099,360.19,C,Abandoned Calls
April,16,17:00:00,0.5387,836.0,34.0,0.0407,347.79,C,Abandoned Calls
April,17,10:30:00,0.758,819.0,9.0,0.011,338.16,C,Abandoned Calls
April,17,11:30:00,0.5917,916.0,22.0,0.024,351.6,C,Abandoned Calls
April,17,14:30:00,0.4994,922.0,27.0,0.0293,344.9,C,Abandoned Calls
April,18,15:30:00,0.6925,799.0,12.0,0.015,344.53,C,Abandoned Calls
April,21,10:30:00,0.9497,964.0,10.0,0.0104,337.78,C,Abandoned Calls
April,21,11:30:00,0.8468,1038.0,13.0,0.0125,341.44,C,Abandoned Calls
April,21,13:30:00,0.6499,945.0,68.0,0.072,385.12,C,Abandoned Calls
April,21,14:00:00,0.2448,1060.0,104.0,0.0981,378.01,C,Abandoned Calls
April,21,14:30:00,0.2769,1065.0,202.0,0.1897,381.91,C,Abandoned Calls
April,21,15:00:00,0.2333,1137.0,117.0,0.1029,363.66,C,Abandoned Calls
April,21,15:30:00,0.3818,1093.0,27.0,0.0247,359.29,C,Abandoned Calls
April,22,10:30:00,0.6606,846.0,27.0,0.0319,360.3,C,Abandoned Calls
April,22,11:00:00,0.2785,942.0,30.0,0.0318,348.71,C,Abandoned Calls
April,22,11:30:00,0.7181,991.0,12.0,0.0121,361.6,C,Abandoned Calls
April,22,12:00:00,0.9249,933.0,14.0,0.015,368.19,C,Abandoned Calls
April,22,12:30:00,0.8017,997.0,49.0,0.0491,352.8,C,Abandoned Calls
April,22,13:30:00,0.7731,900.0,14.0,0.0156,362.9,C,Abandoned Calls
April,22,14:30:00,0.8316,978.0,10.0,0.0102,355.65,C,Abandoned Calls
April,22,17:00:00,0.6381,864.0,35.0,0.0405,387.75,C,Abandoned Calls
April,22,17:30:00,0.6254,877.0,20.0,0.0228,377.53,C,Abandoned Calls
April,22,18:00:00,0.8663,787.0,9.0,0.0114,349.96,C,Abandoned Calls
April,22,18:30:00,0.8657,694.0,9.0,0.013,345.47,C,Abandoned Calls
April,23,10:30:00,0.9561,898.0,9.0,0.01,321.34,C,Abandoned Calls
April,23,12:30:00,0.8274,1006.0,15.0,0.0149,349.72,C,Abandoned Calls
April,23,13:00:00,0.6129,906.0,25.0,0.0276,351.22,C,Abandoned Calls
April,23,13:30:00,0.5375,955.0,34.0,0.0356,353.25,C,Abandoned Calls
April,23,14:00:00,0.6138,909.0,13.0,0.0143,348.96,C,Abandoned Calls
April,23,14:30:00,0.6708,914.0,30.0,0.0328,371.32,C,Abandoned Calls
April,23,20:00:00,0.7205,400.0,10.0,0.025,362.81,C,Abandoned Calls
April,24,10:30:00,0.6267,810.0,9.0,0.0111,346.73,C,Abandoned Calls
April,24,11:00:00,0.6276,872.0,18.0,0.0206,351.94,C,Abandoned Calls
April,24,11:30:00,0.5125,880.0,37.0,0.042,363.36,C,Abandoned Calls
April,24,12:00:00,0.4919,830.0,23.0,0.0277,357.17,C,Abandoned Calls
April,24,12:30:00,0.5073,914.0,29.0,0.0317,357.39,C,Abandoned Calls
April,24,13:00:00,0.7161,877.0,14.0,0.016,354.65,C,Abandoned Calls
April,25,10:00:00,0.5416,698.0,37.0,0.053,346.17,C,Abandoned Calls
April,25,10:30:00,0.3071,791.0,55.0,0.0695,366.76,C,Abandoned Calls
April,25,11:30:00,0.8219,904.0,11.0,0.0122,358.75,C,Abandoned Calls
April,25,12:30:00,0.7098,868.0,34.0,0.0392,374.44,C,Abandoned Calls
April,25,13:00:00,0.4261,911.0,31.0,0.034,350.31,C,Abandoned Calls
April,25,13:30:00,0.3023,965.0,42.0,0.0435,356.09,C,Abandoned Calls
April,25,14:00:00,0.6916,953.0,16.0,0.0168,349.52,C,Abandoned Calls
April,25,15:30:00,0.708,924.0,20.0,0.0216,354.5,C,Abandoned Calls
