Portfolio,Date,Call Volume,CCT,Service Level,Abandon Rate
A,2024-04-05,5505.0,326.77,0.9157,0.0103
A,2024-04-06,3615.0,323.16,0.9885,0.0018
A,2024-04-07,1434.0,329.64,0.9318,0.0076
A,2024-04-08,4937.0,306.97,0.6551,0.0608
A,2024-04-09,4805.0,294.4,0.9699,0.0
A,2024-04-10,4728.0,340.69,0.9648,0.0027
A,2024-04-11,4870.0,323.91,0.9277,0.0077
A,2024-04-12,4462.0,320.1,0.9172,0.0089
A,2024-04-13,3094.0,321.56,0.9096,0.0109
A,2024-04-14,1352.0,330.01,0.8897,0.0118
A,2024-04-15,5397.0,305.88,0.8656,0.0211
A,2024-04-16,4674.0,280.89,0.966,0.0076
A,2024-04-17,4768.0,310.92,0.9892,0.0007
A,2024-04-18,4580.0,319.46,0.958,0.0029
A,2024-04-19,4671.0,332.65,0.9407,0.0054
A,2024-04-20,3124.0,327.14,0.8843,0.0126
A,2024-04-21,1429.0,315.03,0.9282,0.0074
A,2024-04-22,5416.0,312.62,0.8951,0.0188
A,2024-04-23,4845.0,297.94,0.98,0.0016
A,2024-04-24,4882.0,326.93,0.9758,0.0034
A,2024-04-25,4716.0,307.34,0.9746,0.0039
A,2024-04-26,4474.0,311.38,0.8663,0.0886
A,2024-04-27,3202.0,302.46,0.9475,0.0045
A,2024-04-28,1438.0,319.58,0.907,0.0131
A,2024-04-29,5088.0,315.77,0.9071,0.0131
A,2024-04-30,4954.0,285.87,0.9288,0.0092
A,2024-05-01,5549.0,263.46,0.976,0.0079
A,2024-05-02,5296.0,317.27,0.9594,0.0062
A,2024-05-03,5337.0,316.69,0.9576,0.0048
A,2024-05-04,3668.0,315.09,0.9624,0.0052
A,2024-05-05,1837.0,308.99,0.9819,0.002
A,2024-05-06,5722.0,304.08,0.985,0.0053
A,2024-05-07,5155.0,299.56,0.9868,0.0027
A,2024-05-08,4977.0,278.57,0.9834,0.0041
A,2024-05-09,4891.0,310.08,0.9215,0.0082
A,2024-05-10,4840.0,307.32,0.971,0.0051
A,2024-05-11,3512.0,315.91,0.8611,0.0161
A,2024-05-12,1132.0,299.62,0.8856,0.012
A,2024-05-13,4971.0,306.45,0.8263,0.0261
A,2024-05-14,4903.0,289.88,0.8269,0.0201
A,2024-05-15,4703.0,275.39,0.8135,0.045
A,2024-05-16,4650.0,313.55,0.8456,0.0127
A,2024-05-17,5039.0,308.89,0.881,0.0132
A,2024-05-18,3620.0,308.24,0.8442,0.0189
A,2024-05-19,1544.0,302.85,0.8103,0.0216
A,2024-05-20,5564.0,305.33,0.9606,0.0057
A,2024-05-21,4684.0,273.09,0.9046,0.0156
A,2024-05-22,4715.0,258.93,0.9679,0.0068
A,2024-05-23,4794.0,310.37,0.8889,0.0137
A,2024-05-24,4786.0,316.53,0.8756,0.0119
A,2024-05-25,3502.0,304.63,0.9196,0.0107
A,2024-05-26,1407.0,295.22,0.932,0.0112
A,2024-05-27,3209.0,284.69,0.9663,0.0054
A,2024-05-28,5473.0,269.47,0.9309,0.0084
A,2024-05-29,4810.0,245.04,0.9747,0.0034
A,2024-05-30,4931.0,311.3,0.8826,0.022
A,2024-05-31,5264.0,295.61,0.8995,0.0137
A,2024-06-01,3678.0,308.17,0.9424,0.0082
A,2024-06-02,1633.0,315.03,0.962,0.0079
A,2024-06-03,6408.0,317.47,0.9491,0.0062
A,2024-06-04,5851.0,320.99,0.9434,0.006
A,2024-06-05,5283.0,323.7,0.989,0.002
A,2024-06-06,,,0.9196,0.0083
A,2024-06-07,,,0.9538,0.0061
A,2024-06-08,,,0.9775,0.0029
A,2024-06-09,,,0.9359,0.0073
A,2024-06-10,,,0.9396,0.0052
A,2024-06-11,5402.0,310.34,0.9398,0.0071
A,2024-06-12,4978.0,306.48,0.9593,0.0051
A,2024-06-13,4820.0,291.2,0.9156,0.0264
A,2024-06-14,4965.0,282.76,0.9338,0.0175
A,2024-06-15,3358.0,305.9,0.9705,0.0063
A,2024-06-16,1319.0,304.81,0.9788,0.0015
A,2024-06-17,5656.0,307.61,0.8833,0.0147
A,2024-06-18,5368.0,307.3,0.953,0.0085
A,2024-06-19,4712.0,318.93,0.9672,0.0028
A,2024-06-20,5063.0,303.19,0.8442,0.0235
A,2024-06-21,4936.0,297.55,0.8923,0.0175
A,2024-06-22,3236.0,314.19,0.9687,0.0051
A,2024-06-23,1493.0,315.09,0.9594,0.0055
A,2024-06-24,5730.0,324.54,0.9276,0.0065
A,2024-06-25,5443.0,311.56,0.9133,0.0091
A,2024-06-26,5063.0,311.19,0.924,0.0089
A,2024-06-27,5373.0,290.79,0.9125,0.0107
A,2024-06-28,4641.0,260.69,0.8679,0.0182
A,2024-06-29,3286.0,314.7,0.926,0.0092
A,2024-06-30,1454.0,325.85,0.8944,0.0094
A,2024-07-01,6314.0,313.51,0.9356,0.0075
A,2024-07-02,5755.0,312.3,0.9059,0.0089
A,2024-07-03,5422.0,320.69,0.9098,0.0118
A,2024-07-04,2361.0,319.75,0.88,0.0131
A,2024-07-05,5421.0,300.79,0.9468,0.0075
A,2024-07-06,3534.0,298.05,0.9566,0.0049
A,2024-07-07,1508.0,323.41,0.9811,0.0028
A,2024-07-08,6364.0,332.23,0.9393,0.0056
A,2024-07-09,5479.0,330.02,0.9165,0.0074
A,2024-07-10,5188.0,306.88,0.9135,0.0121
A,2024-07-11,5296.0,313.69,0.8522,0.019
A,2024-07-12,4830.0,301.51,0.9118,0.0252
A,2024-07-13,3296.0,285.67,0.9258,0.0126
A,2024-07-14,1456.0,313.54,0.8762,0.0133
A,2024-07-15,4905.0,312.46,0.906,0.0101
A,2024-07-16,4758.0,304.71,0.8621,0.0132
A,2024-07-17,4733.0,318.49,0.8718,0.0135
A,2024-07-18,4685.0,307.01,0.933,0.0098
A,2024-07-19,4561.0,296.09,0.8758,0.0157
A,2024-07-20,3275.0,309.04,0.8969,0.0154
A,2024-07-21,1348.0,337.28,0.8376,0.0179
A,2024-07-22,5264.0,327.18,0.8701,0.0136
A,2024-07-23,4948.0,305.6,0.8634,0.0178
A,2024-07-24,4479.0,318.99,0.917,0.0085
A,2024-07-25,4829.0,314.48,0.8743,0.0165
A,2024-07-26,4438.0,298.36,0.8839,0.0184
A,2024-07-27,3386.0,300.08,0.8882,0.0299
A,2024-07-28,1452.0,327.66,0.8765,0.0114
A,2024-07-29,4844.0,316.72,0.8901,0.0135
A,2024-07-30,4502.0,315.58,0.9665,0.005
A,2024-07-31,4258.0,323.84,0.9291,0.0057
A,2024-08-01,5070.0,312.41,0.9708,0.004
A,2024-08-02,5322.0,312.63,0.9545,0.0035
A,2024-08-03,3387.0,292.43,0.924,0.0074
A,2024-08-04,1511.0,284.57,0.9637,0.0094
A,2024-08-05,5589.0,325.96,0.9614,0.0022
A,2024-08-06,5151.0,325.18,0.9167,0.0074
A,2024-08-07,4659.0,316.62,0.9427,0.0044
A,2024-08-08,4326.0,321.05,0.9015,0.0131
A,2024-08-09,4541.0,327.6,0.9144,0.0099
A,2024-08-10,3234.0,302.68,0.8626,0.0168
A,2024-08-11,1439.0,303.17,0.9331,0.0139
A,2024-08-12,4896.0,322.33,0.9603,0.0034
A,2024-08-13,4601.0,316.52,0.9224,0.009
A,2024-08-14,4587.0,323.87,0.8838,0.0093
A,2024-08-15,4617.0,321.9,0.9329,0.0088
A,2024-08-16,4673.0,316.85,0.9834,0.0012
A,2024-08-17,3511.0,301.1,0.9593,0.0085
A,2024-08-18,1469.0,318.23,0.9718,0.0166
A,2024-08-19,5088.0,333.85,0.8652,0.0186
A,2024-08-20,4813.0,326.45,0.9208,0.0062
A,2024-08-21,4550.0,328.37,0.8429,0.0136
A,2024-08-22,4449.0,322.64,0.8524,0.0156
A,2024-08-23,4715.0,318.89,0.8726,0.0204
A,2024-08-24,3182.0,315.08,0.9072,0.0088
A,2024-08-25,1514.0,290.61,0.9113,0.0109
A,2024-08-26,5193.0,327.64,0.9528,0.0058
A,2024-08-27,4875.0,328.18,0.9157,0.0073
A,2024-08-28,4471.0,323.12,0.8943,0.0131
A,2024-08-29,4425.0,318.79,0.7749,0.0321
A,2024-08-30,4596.0,316.03,0.8548,0.0194
A,2024-08-31,3305.0,316.33,0.8582,0.0219
A,2024-09-01,1500.0,296.27,0.9192,0.0117
A,2024-09-02,3649.0,286.3,0.9393,0.0131
A,2024-09-03,6860.0,329.37,0.8688,0.0129
A,2024-09-04,6173.0,329.62,0.8846,0.0103
A,2024-09-05,,,,
A,2024-09-06,,,,
A,2024-09-07,,,,
A,2024-09-08,,,,
A,2024-09-09,,,,
A,2024-09-10,,,,
A,2024-09-11,,,,
A,2024-09-12,,,,
A,2024-09-13,,,,
A,2024-09-14,,,,
A,2024-09-15,,,,
A,2024-09-16,,,,
A,2024-09-17,5083.0,326.15,0.8595,0.0147
A,2024-09-18,4853.0,326.24,0.8721,0.0149
A,2024-09-19,4918.0,321.37,0.87,0.0165
A,2024-09-20,4761.0,310.47,0.8549,0.0181
A,2024-09-21,3243.0,312.16,0.8742,0.0167
A,2024-09-22,1615.0,294.99,0.954,0.0069
A,2024-09-23,5318.0,284.0,0.9579,0.0043
A,2024-09-24,4806.0,300.53,0.8827,0.0175
A,2024-09-25,4816.0,331.01,0.8261,0.0227
A,2024-09-26,4434.0,328.16,0.8089,0.0233
A,2024-09-27,3709.0,319.67,0.898,0.0138
A,2024-09-28,2749.0,307.18,0.9284,0.011
A,2024-09-29,1161.0,314.31,0.9157,0.0121
A,2024-09-30,5056.0,321.5,0.9088,0.0092
A,2024-10-01,5350.0,291.91,0.9016,0.0115
A,2024-10-02,5248.0,293.44,0.8162,0.046
A,2024-10-03,5211.0,318.72,0.9233,0.0084
A,2024-10-04,4731.0,326.63,0.9567,0.0029
A,2024-10-05,3331.0,324.71,0.9348,0.0055
A,2024-10-06,1427.0,314.09,0.9349,0.0104
A,2024-10-07,5305.0,328.42,0.9655,0.0052
A,2024-10-08,4796.0,301.42,0.9514,0.0059
A,2024-10-09,4425.0,292.88,0.9893,0.0085
A,2024-10-10,4512.0,319.45,0.9468,0.0055
A,2024-10-11,4341.0,310.53,0.9764,0.0026
A,2024-10-12,2849.0,330.58,0.8994,0.011
A,2024-10-13,1219.0,328.17,0.9021,0.0105
A,2024-10-14,4679.0,326.95,0.9093,0.0092
A,2024-10-15,4408.0,306.47,0.9392,0.0086
A,2024-10-16,4678.0,299.53,0.9512,0.0103
A,2024-10-17,4769.0,319.01,0.959,0.0051
A,2024-10-18,4451.0,335.69,0.9192,0.0088
A,2024-10-19,3266.0,319.85,0.9192,0.007
A,2024-10-20,1413.0,325.67,0.9685,0.0049
A,2024-10-21,5574.0,323.52,0.9032,0.0161
A,2024-10-22,5137.0,308.02,0.8956,0.0093
A,2024-10-23,4925.0,282.99,0.9772,0.0033
A,2024-10-24,4930.0,289.2,0.9698,0.0033
A,2024-10-25,4782.0,330.37,0.8966,0.0117
A,2024-10-26,3105.0,323.48,0.9137,0.0152
A,2024-10-27,1404.0,326.17,0.9534,0.0091
A,2024-10-28,5224.0,322.09,0.942,0.0054
A,2024-10-29,4644.0,306.61,0.9068,0.0176
A,2024-10-30,4172.0,299.6,0.955,0.0098
A,2024-10-31,4323.0,294.88,0.9704,0.0086
A,2024-11-01,5336.0,328.56,0.8821,0.0151
A,2024-11-02,3772.0,319.3,0.927,0.0068
A,2024-11-03,1392.0,336.15,0.9316,0.0127
A,2024-11-04,5837.0,320.54,0.9078,0.0089
A,2024-11-05,4874.0,318.24,0.9657,0.0052
A,2024-11-06,4695.0,296.93,0.9588,0.0104
A,2024-11-07,4920.0,292.94,0.9516,0.0108
A,2024-11-08,5549.0,326.39,0.9418,0.0058
A,2024-11-09,3716.0,338.09,0.8735,0.0111
A,2024-11-10,1577.0,322.49,0.8559,0.0171
A,2024-11-11,5406.0,315.68,0.8942,0.0137
A,2024-11-12,4961.0,322.74,0.9121,0.0149
A,2024-11-13,4860.0,299.82,0.9315,0.0083
A,2024-11-14,5290.0,278.13,0.9079,0.0205
A,2024-11-15,5065.0,314.53,0.9309,0.0095
A,2024-11-16,3616.0,318.45,0.8858,0.0117
A,2024-11-17,1716.0,318.5,0.8894,0.0121
A,2024-11-18,5782.0,309.51,0.8631,0.013
A,2024-11-19,5221.0,306.16,0.9069,0.0099
A,2024-11-20,5562.0,304.18,0.9207,0.0099
A,2024-11-21,5322.0,284.13,0.9391,0.01
A,2024-11-22,5335.0,319.14,0.9048,0.008
A,2024-11-23,4064.0,314.71,0.8292,0.0187
A,2024-11-24,1713.0,316.53,0.8519,0.0198
A,2024-11-25,6285.0,301.14,0.8124,0.0249
A,2024-11-26,5478.0,304.57,0.8999,0.0119
A,2024-11-27,5067.0,296.13,0.955,0.0067
A,2024-11-28,545.0,290.14,0.9653,0.0096
A,2024-11-29,6986.0,280.51,0.9065,0.0305
A,2024-11-30,4936.0,327.42,0.9594,0.0055
A,2024-12-01,2101.0,323.73,0.9739,0.0046
A,2024-12-02,8302.0,323.3,0.9752,0.0026
A,2024-12-03,7285.0,316.96,0.9569,0.005
A,2024-12-04,6329.0,329.58,0.9508,0.0077
A,2024-12-05,6112.0,311.71,0.9025,0.0143
A,2024-12-06,6090.0,291.69,0.9258,0.0155
A,2024-12-07,4323.0,331.18,0.973,0.0045
A,2024-12-08,2007.0,335.9,0.9272,0.0079
A,2024-12-09,7094.0,314.1,0.9017,0.0084
A,2024-12-10,6604.0,316.39,0.9669,0.004
A,2024-12-11,6715.0,327.36,0.9607,0.0037
A,2024-12-12,6192.0,313.29,0.8801,0.018
A,2024-12-13,6005.0,290.11,0.9883,0.0036
A,2024-12-14,4610.0,323.34,0.967,0.0034
A,2024-12-15,2099.0,321.67,0.9879,0.0025
A,2024-12-16,6945.0,317.93,0.9817,0.003
A,2024-12-17,6472.0,315.98,0.9897,0.0015
A,2024-12-18,6209.0,321.5,0.9497,0.0172
A,2024-12-19,5932.0,302.09,0.8968,0.0204
A,2024-12-20,6055.0,302.38,0.9294,0.0134
A,2024-12-21,4701.0,322.18,0.9493,0.006
A,2024-12-22,2292.0,310.99,0.9739,0.0043
A,2024-12-23,6323.0,312.94,0.9352,0.007
A,2024-12-24,4112.0,303.06,0.9563,0.0077
A,2024-12-25,294.0,319.62,0.9061,0.0106
A,2024-12-26,5361.0,314.83,0.882,0.0164
A,2024-12-27,5443.0,280.98,0.9291,0.0115
A,2024-12-28,3611.0,317.73,0.864,0.0152
A,2024-12-29,1443.0,331.58,0.9239,0.0112
A,2024-12-30,6201.0,324.73,0.9676,0.0035
A,2024-12-31,4846.0,311.67,0.9092,0.0144
A,2025-01-01,2196.0,291.4,0.9504,0.0089
A,2025-01-02,6711.0,307.38,0.9268,0.0101
A,2025-01-03,6351.0,295.82,0.9476,0.0062
A,2025-01-04,3910.0,291.55,0.9516,0.0126
A,2025-01-05,1565.0,328.12,0.9061,0.0112
A,2025-01-06,5880.0,324.99,0.8992,0.0093
A,2025-01-07,5594.0,321.86,0.8726,0.012
A,2025-01-08,5423.0,311.64,0.9242,0.0081
A,2025-01-09,4085.0,304.69,0.9494,0.006
A,2025-01-10,4101.0,292.89,0.9612,0.0058
A,2025-01-11,3287.0,277.92,0.9682,0.0055
A,2025-01-12,1368.0,322.86,0.9416,0.0077
A,2025-01-13,5722.0,327.23,0.9296,0.012
A,2025-01-14,5297.0,333.24,0.9076,0.0078
A,2025-01-15,4862.0,315.55,0.9078,0.0096
A,2025-01-16,4775.0,321.74,0.9399,0.023
A,2025-01-17,4918.0,293.32,0.9563,0.0085
A,2025-01-18,2867.0,293.22,0.9732,0.0037
A,2025-01-19,1159.0,322.74,0.9425,0.0057
A,2025-01-20,3907.0,318.63,0.9005,0.0174
A,2025-01-21,4289.0,309.15,0.9059,0.0103
A,2025-01-22,4783.0,309.72,0.9095,0.0095
A,2025-01-23,5062.0,307.63,0.9649,0.0056
A,2025-01-24,4989.0,295.38,0.8831,0.0201
A,2025-01-25,3721.0,268.79,0.9722,0.0083
A,2025-01-26,1280.0,324.25,0.9243,0.0072
A,2025-01-27,5384.0,334.37,0.9504,0.0067
A,2025-01-28,4491.0,309.28,0.9329,0.0063
A,2025-01-29,4087.0,315.02,0.9075,0.0271
A,2025-01-30,4363.0,305.73,0.9368,0.0085
A,2025-01-31,4812.0,307.8,0.9386,0.0113
A,2025-02-01,3607.0,312.57,0.977,0.0031
A,2025-02-02,1526.0,316.65,0.8859,0.0185
A,2025-02-03,6086.0,298.83,0.9219,0.0164
A,2025-02-04,5054.0,337.13,0.7964,0.023
A,2025-02-05,4855.0,329.7,0.9504,0.0078
A,2025-02-06,4360.0,326.6,0.9193,0.0122
A,2025-02-07,4594.0,319.16,0.9381,0.0085
A,2025-02-08,3254.0,328.59,0.9182,0.0118
A,2025-02-09,1095.0,303.69,0.9096,0.0117
A,2025-02-10,5093.0,287.12,0.9435,0.016
A,2025-02-11,4935.0,316.12,0.9581,0.007
A,2025-02-12,4376.0,321.88,0.9305,0.0089
A,2025-02-13,4395.0,324.58,0.8416,0.0275
A,2025-02-14,4312.0,318.78,0.8936,0.0173
A,2025-02-15,2933.0,330.81,0.8851,0.0129
A,2025-02-16,1187.0,306.66,0.8399,0.0232
A,2025-02-17,4362.0,287.36,0.9127,0.024
A,2025-02-18,4177.0,320.18,0.8897,0.0123
A,2025-02-19,4276.0,325.38,0.938,0.0058
A,2025-02-20,4508.0,315.27,0.9137,0.0083
A,2025-02-21,4322.0,309.67,0.9741,0.0022
A,2025-02-22,2875.0,309.45,0.9678,0.0055
A,2025-02-23,1250.0,295.56,0.9751,0.0138
A,2025-02-24,4776.0,285.07,0.9265,0.0094
A,2025-02-25,4348.0,323.22,0.9512,0.0062
A,2025-02-26,4988.0,321.08,0.9534,0.0068
A,2025-02-27,4399.0,314.58,0.9532,0.0049
A,2025-02-28,4563.0,296.05,0.9668,0.0064
A,2025-03-01,3266.0,316.8,0.9312,0.0057
A,2025-03-02,1604.0,317.63,0.9523,0.0066
A,2025-03-03,5603.0,290.8,0.9537,0.0047
A,2025-03-04,4533.0,281.84,0.9597,0.0146
A,2025-03-05,4345.0,331.93,0.9367,0.0079
A,2025-03-06,4191.0,332.6,0.924,0.0089
A,2025-03-07,3994.0,328.38,0.9424,0.0056
A,2025-03-08,3024.0,328.1,0.9334,0.0069
A,2025-03-09,1154.0,321.93,0.9607,0.0035
A,2025-03-10,4823.0,299.51,0.9403,0.0099
A,2025-03-11,4637.0,275.82,0.9422,0.0139
A,2025-03-12,4261.0,325.02,0.9544,0.0063
A,2025-03-13,4080.0,318.97,0.9345,0.0104
A,2025-03-14,3905.0,310.55,0.9378,0.0087
A,2025-03-15,2616.0,310.32,0.9151,0.0106
A,2025-03-16,1200.0,313.56,0.9432,0.0083
A,2025-03-17,4603.0,297.69,0.8898,0.0154
A,2025-03-18,3915.0,280.69,0.9616,0.0061
A,2025-03-19,4089.0,327.69,0.9475,0.0047
A,2025-03-20,4377.0,323.94,0.9339,0.006
A,2025-03-21,3910.0,326.11,0.873,0.0224
A,2025-03-22,2984.0,330.8,0.9375,0.0072
A,2025-03-23,1257.0,317.88,0.9297,0.0382
A,2025-03-24,4338.0,300.9,0.9348,0.0075
A,2025-03-25,4166.0,286.01,0.9749,0.0013
A,2025-03-26,4298.0,322.14,0.9515,0.0035
A,2025-03-27,4737.0,338.12,0.9398,0.0053
A,2025-03-28,4290.0,327.38,0.9441,0.004
A,2025-03-29,2993.0,320.87,0.902,0.0104
A,2025-03-30,1318.0,317.25,0.9445,0.0074
A,2025-03-31,5112.0,301.57,0.92,0.0091
A,2025-04-01,5249.0,304.6,0.8755,0.0235
A,2025-04-02,4920.0,291.8,0.9117,0.0164
A,2025-04-03,4944.0,298.09,0.9039,0.0203
A,2025-04-04,4810.0,328.86,0.9147,0.0073
A,2025-04-05,3365.0,324.81,0.9201,0.0117
A,2025-04-06,1279.0,316.57,0.9525,0.0094
A,2025-04-07,5109.0,321.73,0.916,0.0058
A,2025-04-08,4982.0,324.76,0.9377,0.0201
A,2025-04-09,4367.0,306.01,0.9465,0.0124
A,2025-04-10,4507.0,266.47,0.9613,0.0109
A,2025-04-11,4556.0,313.52,0.9616,0.0101
A,2025-04-12,3146.0,317.58,0.9478,0.0167
A,2025-04-13,1227.0,321.37,0.9408,0.0165
A,2025-04-14,5030.0,317.79,0.9368,0.0167
A,2025-04-15,4450.0,318.11,0.9176,0.012
A,2025-04-16,4411.0,299.58,0.9089,0.0128
A,2025-04-17,4649.0,280.68,0.87,0.0337
A,2025-04-18,4159.0,315.86,0.9434,0.0051
A,2025-04-19,2949.0,319.05,0.8684,0.0169
A,2025-04-20,541.0,314.72,0.869,0.0124
A,2025-04-21,4452.0,319.92,0.8594,0.0162
A,2025-04-22,4382.0,320.51,0.9097,0.0104
A,2025-04-23,4543.0,301.43,0.9114,0.0121
A,2025-04-24,4294.0,275.32,0.9623,0.0078
A,2025-04-25,4408.0,316.32,0.8679,0.0137
A,2025-04-26,2956.0,308.9,0.919,0.0082
A,2025-04-27,1379.0,339.66,0.9368,0.0067
A,2025-04-28,4688.0,317.24,0.8968,0.01
A,2025-04-29,4254.0,325.26,0.9008,0.0078
A,2025-04-30,4734.0,304.33,0.8914,0.0193
A,2025-05-01,5190.0,274.97,0.9208,0.0157
A,2025-05-02,5421.0,296.33,0.9321,0.018
A,2025-05-03,3403.0,294.14,0.9689,0.0049
A,2025-05-04,1500.0,337.88,0.8681,0.0133
A,2025-05-05,5808.0,339.59,0.887,0.0081
A,2025-05-06,4907.0,336.09,0.9007,0.0103
A,2025-05-07,4535.0,322.36,0.9802,0.0035
A,2025-05-08,4800.0,306.53,0.9378,0.0077
A,2025-05-09,4427.0,290.97,0.9578,0.0106
A,2025-05-10,2858.0,347.5,0.9444,0.0057
A,2025-05-11,940.0,344.43,0.9614,0.0028
A,2025-05-12,4723.0,337.18,0.9508,0.0028
A,2025-05-13,4240.0,316.18,0.9299,0.0148
A,2025-05-14,4745.0,341.13,0.9288,0.0075
A,2025-05-15,4286.0,301.57,0.9124,0.0105
A,2025-05-16,3893.0,298.47,0.9649,0.0038
A,2025-05-17,2905.0,337.05,0.9524,0.0019
A,2025-05-18,1264.0,332.25,0.9328,0.0077
A,2025-05-19,4707.0,327.25,0.908,0.0101
A,2025-05-20,4656.0,322.16,0.98,0.0033
A,2025-05-21,4287.0,333.35,0.9359,0.0078
A,2025-05-22,4307.0,313.8,0.9426,0.0062
A,2025-05-23,4282.0,304.07,0.9789,0.0043
A,2025-05-24,2910.0,340.46,0.9173,0.0038
