Portfolio,Date,slot,Interval,Call Volume,Abandoned Calls,Abandoned Rate,CCT,Service Level
A,2025-04-06,16,08:00:00,3.0,0.0,0.0,260.33,1.0
A,2025-04-06,17,08:30:00,9.0,0.0,0.0,207.11,1.0
A,2025-04-06,18,09:00:00,25.0,0.0,0.0,221.4,1.0
A,2025-04-06,19,09:30:00,21.0,0.0,0.0,314.57,1.0
A,2025-04-06,20,10:00:00,21.0,0.0,0.0,261.71,1.0
A,2025-04-06,21,10:30:00,39.0,0.0,0.0,258.0,1.0
A,2025-04-06,22,11:00:00,37.0,0.0,0.0,266.73,0.973
A,2025-04-06,23,11:30:00,34.0,0.0,0.0,350.65,1.0
A,2025-04-06,24,12:00:00,47.0,0.0,0.0,313.72,1.0
A,2025-04-06,25,12:30:00,58.0,0.0,0.0,285.52,0.9828
A,2025-04-06,26,13:00:00,86.0,6.0,0.0698,278.14,0.7625
A,2025-04-06,27,13:30:00,73.0,0.0,0.0,255.34,0.8904
A,2025-04-06,28,14:00:00,71.0,0.0,0.0,257.17,1.0
A,2025-04-06,29,14:30:00,91.0,1.0,0.011,263.13,1.0
A,2025-04-06,30,15:00:00,69.0,1.0,0.0145,334.79,0.9559
A,2025-04-06,31,15:30:00,83.0,0.0,0.0,268.7,0.9398
A,2025-04-06,32,16:00:00,80.0,0.0,0.0,328.65,0.9875
A,2025-04-06,33,16:30:00,77.0,0.0,0.0,252.25,1.0
A,2025-04-06,34,17:00:00,55.0,0.0,0.0,273.67,1.0
A,2025-04-06,35,17:30:00,51.0,0.0,0.0,272.84,1.0
A,2025-04-06,36,18:00:00,46.0,0.0,0.0,312.85,1.0
A,2025-04-06,37,18:30:00,35.0,0.0,0.0,320.77,1.0
A,2025-04-06,38,19:00:00,28.0,0.0,0.0,289.57,1.0
A,2025-04-06,39,19:30:00,22.0,0.0,0.0,291.95,1.0
A,2025-04-06,40,20:00:00,19.0,0.0,0.0,238.68,0.9474
A,2025-04-06,41,20:30:00,14.0,0.0,0.0,284.07,1.0
A,2025-04-06,42,21:00:00,14.0,0.0,0.0,296.14,1.0
A,2025-04-06,43,21:30:00,9.0,0.0,0.0,373.67,1.0
A,2025-04-06,44,22:00:00,21.0,0.0,0.0,263.05,1.0
A,2025-04-06,45,22:30:00,12.0,2.0,0.1667,324.2,0.6
A,2025-04-06,46,23:00:00,7.0,0.0,0.0,374.43,0.8571
A,2025-04-06,47,23:30:00,5.0,0.0,0.0,200.0,1.0
A,2025-04-07,0,00:00:00,5.0,0.0,0.0,350.4,1.0
A,2025-04-07,1,00:30:00,5.0,0.0,0.0,266.8,1.0
A,2025-04-07,2,01:00:00,1.0,0.0,0.0,286.0,1.0
A,2025-04-07,13,06:30:00,1.0,0.0,0.0,53.0,1.0
A,2025-04-07,14,07:00:00,8.0,1.0,0.125,185.29,0.8571
A,2025-04-07,15,07:30:00,6.0,0.0,0.0,540.83,1.0
A,2025-04-07,16,08:00:00,33.0,0.0,0.0,305.48,1.0
A,2025-04-07,17,08:30:00,87.0,0.0,0.0,297.95,0.8506
A,2025-04-07,18,09:00:00,113.0,0.0,0.0,319.73,0.9292
A,2025-04-07,19,09:30:00,176.0,1.0,0.0057,368.04,0.9657
A,2025-04-07,20,10:00:00,174.0,0.0,0.0,323.98,0.977
A,2025-04-07,21,10:30:00,197.0,0.0,0.0,309.25,0.9898
A,2025-04-07,22,11:00:00,242.0,0.0,0.0,332.38,0.9959
A,2025-04-07,23,11:30:00,249.0,1.0,0.004,314.4,0.9879
A,2025-04-07,24,12:00:00,249.0,0.0,0.0,309.31,0.9317
A,2025-04-07,25,12:30:00,255.0,0.0,0.0,321.7,0.9804
A,2025-04-07,26,13:00:00,301.0,0.0,0.0,299.98,0.9668
A,2025-04-07,27,13:30:00,231.0,0.0,0.0,347.18,0.9913
A,2025-04-07,28,14:00:00,268.0,0.0,0.0,319.88,0.9851
A,2025-04-07,29,14:30:00,284.0,2.0,0.007,334.34,0.8652
A,2025-04-07,30,15:00:00,295.0,1.0,0.0034,322.28,0.8095
A,2025-04-07,31,15:30:00,270.0,0.0,0.0,354.54,0.9852
A,2025-04-07,32,16:00:00,264.0,1.0,0.0038,320.65,0.9924
A,2025-04-07,33,16:30:00,246.0,0.0,0.0,340.08,0.9919
A,2025-04-07,34,17:00:00,238.0,0.0,0.0,357.74,1.0
A,2025-04-07,35,17:30:00,213.0,0.0,0.0,308.02,0.9859
A,2025-04-07,36,18:00:00,160.0,0.0,0.0,314.43,0.9938
A,2025-04-07,37,18:30:00,136.0,0.0,0.0,297.23,0.9853
A,2025-04-07,38,19:00:00,90.0,0.0,0.0,339.97,1.0
A,2025-04-07,39,19:30:00,88.0,0.0,0.0,341.27,0.9773
A,2025-04-07,40,20:00:00,67.0,0.0,0.0,311.31,1.0
A,2025-04-07,41,20:30:00,37.0,2.0,0.0541,384.31,0.9714
A,2025-04-07,42,21:00:00,39.0,2.0,0.0513,260.86,0.973
A,2025-04-07,43,21:30:00,20.0,0.0,0.0,548.85,1.0
A,2025-04-07,44,22:00:00,18.0,0.0,0.0,226.67,1.0
A,2025-04-07,45,22:30:00,10.0,0.0,0.0,283.1,0.4
A,2025-04-07,46,23:00:00,15.0,0.0,0.0,226.0,0.8
A,2025-04-07,47,23:30:00,6.0,0.0,0.0,613.17,1.0
A,2025-04-08,0,00:00:00,5.0,0.0,0.0,351.8,1.0
A,2025-04-08,1,00:30:00,11.0,0.0,0.0,480.64,1.0
A,2025-04-08,2,01:00:00,4.0,0.0,0.0,481.0,1.0
A,2025-04-08,3,01:30:00,6.0,0.0,0.0,286.67,1.0
A,2025-04-08,4,02:00:00,2.0,0.0,0.0,372.0,1.0
A,2025-04-08,5,02:30:00,1.0,0.0,0.0,2.0,1.0
A,2025-04-08,8,04:00:00,1.0,0.0,0.0,211.0,1.0
A,2025-04-08,9,04:30:00,2.0,0.0,0.0,121.5,1.0
A,2025-04-08,10,05:00:00,3.0,0.0,0.0,217.67,1.0
A,2025-04-08,11,05:30:00,3.0,0.0,0.0,134.67,1.0
A,2025-04-08,12,06:00:00,1.0,0.0,0.0,206.0,1.0
A,2025-04-08,13,06:30:00,8.0,1.0,0.125,206.29,0.1429
A,2025-04-08,14,07:00:00,5.0,0.0,0.0,268.4,0.4
A,2025-04-08,15,07:30:00,14.0,0.0,0.0,297.79,0.9286
A,2025-04-08,16,08:00:00,34.0,0.0,0.0,250.41,0.9412
A,2025-04-08,17,08:30:00,88.0,2.0,0.0227,285.71,0.8372
A,2025-04-08,18,09:00:00,137.0,1.0,0.0073,320.65,0.9265
A,2025-04-08,19,09:30:00,155.0,5.0,0.0323,331.31,0.9333
A,2025-04-08,20,10:00:00,206.0,2.0,0.0097,351.02,0.7402
A,2025-04-08,21,10:30:00,215.0,0.0,0.0,316.95,0.9674
A,2025-04-08,22,11:00:00,204.0,1.0,0.0049,327.58,0.9655
A,2025-04-08,23,11:30:00,243.0,2.0,0.0082,312.43,0.9461
A,2025-04-08,24,12:00:00,283.0,7.0,0.0247,336.92,0.8442
A,2025-04-08,25,12:30:00,252.0,5.0,0.0198,317.16,0.7085
A,2025-04-08,26,13:00:00,224.0,0.0,0.0,325.81,0.9955
A,2025-04-08,27,13:30:00,245.0,0.0,0.0,367.21,0.9592
A,2025-04-08,28,14:00:00,270.0,0.0,0.0,291.77,0.9704
A,2025-04-08,29,14:30:00,179.0,1.0,0.0056,318.51,1.0
A,2025-04-08,30,15:00:00,262.0,0.0,0.0,314.62,0.916
A,2025-04-08,31,15:30:00,268.0,1.0,0.0037,340.09,0.9176
A,2025-04-08,32,16:00:00,264.0,1.0,0.0038,349.78,0.8479
A,2025-04-08,33,16:30:00,262.0,1.0,0.0038,329.97,0.9885
A,2025-04-08,34,17:00:00,216.0,0.0,0.0,282.39,0.9954
A,2025-04-08,35,17:30:00,193.0,0.0,0.0,379.38,0.9793
A,2025-04-08,36,18:00:00,176.0,2.0,0.0114,324.32,0.8276
A,2025-04-08,37,18:30:00,138.0,0.0,0.0,326.01,0.9348
A,2025-04-08,38,19:00:00,82.0,0.0,0.0,311.16,1.0
A,2025-04-08,39,19:30:00,94.0,0.0,0.0,276.96,1.0
A,2025-04-08,40,20:00:00,47.0,0.0,0.0,362.6,1.0
A,2025-04-08,41,20:30:00,52.0,0.0,0.0,272.9,1.0
A,2025-04-08,42,21:00:00,38.0,1.0,0.0263,342.89,0.9459
A,2025-04-08,43,21:30:00,23.0,0.0,0.0,347.83,1.0
A,2025-04-08,44,22:00:00,21.0,0.0,0.0,271.0,1.0
A,2025-04-08,45,22:30:00,22.0,4.0,0.1818,273.33,0.5556
A,2025-04-08,46,23:00:00,15.0,0.0,0.0,427.93,0.2667
A,2025-04-08,47,23:30:00,8.0,0.0,0.0,339.0,1.0
A,2025-04-09,0,00:00:00,8.0,0.0,0.0,279.38,1.0
A,2025-04-09,1,00:30:00,4.0,0.0,0.0,150.5,1.0
A,2025-04-09,3,01:30:00,1.0,0.0,0.0,315.0,1.0
A,2025-04-09,4,02:00:00,2.0,0.0,0.0,257.0,1.0
A,2025-04-09,5,02:30:00,1.0,0.0,0.0,170.0,1.0
A,2025-04-09,6,03:00:00,2.0,0.0,0.0,288.5,1.0
A,2025-04-09,7,03:30:00,3.0,0.0,0.0,441.67,1.0
A,2025-04-09,8,04:00:00,2.0,0.0,0.0,183.5,1.0
A,2025-04-09,10,05:00:00,1.0,0.0,0.0,549.0,1.0
A,2025-04-09,11,05:30:00,1.0,0.0,0.0,226.0,1.0
A,2025-04-09,12,06:00:00,3.0,0.0,0.0,286.67,1.0
A,2025-04-09,13,06:30:00,1.0,0.0,0.0,117.0,1.0
A,2025-04-09,14,07:00:00,3.0,0.0,0.0,286.67,1.0
A,2025-04-09,15,07:30:00,8.0,0.0,0.0,356.88,0.875
A,2025-04-09,16,08:00:00,44.0,0.0,0.0,258.14,0.9318
A,2025-04-09,17,08:30:00,90.0,3.0,0.0333,280.07,0.8391
A,2025-04-09,18,09:00:00,121.0,1.0,0.0083,317.23,0.8417
A,2025-04-09,19,09:30:00,154.0,1.0,0.0065,323.79,0.902
A,2025-04-09,20,10:00:00,185.0,2.0,0.0108,324.23,0.9454
A,2025-04-09,21,10:30:00,190.0,0.0,0.0,324.04,0.9842
