Month,Day,Interval,Calls_Offered_A,Abandoned_Calls_A,Abandoned_Rate_A,CCT_A,Calls_Offered_B,Abandoned_Calls_B,Abandoned_Rate_B,CCT_B,Calls_Offered_C,Abandoned_Calls_C,Abandoned_Rate_C,CCT_C,Calls_Offered_D,Abandoned_Calls_D,Abandoned_Rate_D,CCT_D
August,1,11:30,257,1,0.00367,335.74,505,19,0.037398,357.51,1126,15,0.013294,346.38,506,6,0.012435,326.43
August,1,12:00,264,3,0.009821,334.07,547,15,0.027678,360.22,1138,22,0.019155,346.38,519,6,0.010878,326.46
August,1,12:30,264,1,0.004845,342.67,562,16,0.028521,362.29,1142,20,0.017696,349.83,529,5,0.00905,334.74
August,1,13:00,265,1,0.003857,348.82,577,16,0.027388,354.84,1139,12,0.010867,356.69,533,5,0.008872,337.93
August,1,13:30,267,0,0.001418,346.17,591,17,0.029284,352.93,1136,12,0.010283,357.31,542,7,0.01241,335.87
August,1,14:00,270,1,0.002283,344.27,610,21,0.034675,359.26,1144,13,0.011015,357.48,555,9,0.016762,332.99
August,1,14:30,277,3,0.009243,343.97,620,21,0.034328,360.87,1143,14,0.012059,357.13,553,10,0.018962,335.81
August,1,15:00,274,5,0.018179,339.96,618,12,0.019149,362.98,1138,17,0.015269,356.4,549,8,0.014395,339.39
August,1,15:30,274,6,0.022255,344.68,610,10,0.016283,362.13,1130,20,0.017538,357.18,547,7,0.01364,337.79
August,1,16:00,268,2,0.007095,347.97,608,10,0.016754,367.54,1112,11,0.009634,358.24,558,5,0.009104,338.15
August,1,16:30,253,0,0.000345,349.58,595,10,0.016547,364.51,1069,7,0.006105,357.54,538,4,0.007954,336.5
August,1,17:00,223,0,3e-06,346.74,569,10,0.016755,359.57,1007,7,0.006932,358.14,500,3,0.00642,340.48
August,1,17:30,198,0,8.3e-05,343.05,539,11,0.021185,361.3,928,7,0.007453,359.67,460,2,0.005053,333.75
August,1,18:00,171,0,0.002057,347.07,477,13,0.027162,364.42,811,6,0.006921,361.94,410,2,0.004044,330.95
August,1,18:30,145,1,0.006743,362.7,427,9,0.021304,357.88,730,5,0.006486,361.17,368,3,0.007914,333.22
August,1,19:00,100,0,0.003523,364.28,388,11,0.029338,353.84,649,5,0.007934,354.87,333,5,0.014664,334.4
August,1,19:30,74,0,0.000223,350.88,344,8,0.024559,345.92,573,5,0.008276,355.98,297,5,0.016595,334.61
August,1,20:00,57,0,2e-06,343.53,294,6,0.021188,350.21,482,6,0.011453,352.98,253,4,0.01437,328.73
August,1,20:30,45,0,0.0,334.5,260,5,0.017861,353.0,410,2,0.005115,347.83,221,4,0.019047,321.99
August,1,21:00,34,0,1e-05,337.3,219,3,0.014477,345.3,343,0,0.000621,348.87,185,8,0.044719,330.41
August,1,21:30,26,0,0.0021,326.68,179,4,0.019963,336.55,281,0,2.4e-05,346.67,157,6,0.041019,337.2
August,1,22:00,22,1,0.054499,332.74,142,1,0.008259,334.86,228,0,0.0,344.5,126,2,0.015411,327.43
August,1,22:30,16,4,0.241694,352.95,114,0,0.000476,327.71,183,0,0.0,342.61,103,0,0.002051,313.0
August,1,23:00,12,3,0.23312,321.75,85,0,4e-06,336.88,140,0,0.0,333.3,81,0,8.8e-05,308.64
August,1,23:30,10,1,0.073043,258.01,69,0,0.0,345.68,114,0,0.0,318.26,65,0,1e-06,309.92
August,2,0:00,7,0,0.0,337.74,40,0,0.011499,307.85,70,0,0.0,318.79,44,0,0.0,317.02
August,2,0:30,5,0,0.0,344.88,28,0,0.004563,336.4,55,0,0.0,320.7,31,0,0.0,323.21
August,2,1:00,4,0,0.0,269.84,13,0,0.000441,343.98,41,0,0.0,328.73,24,0,0.0,317.2
August,2,1:30,2,0,0.0,214.76,7,0,5e-06,296.95,32,0,0.0,322.0,17,0,0.0,311.31
August,2,2:00,2,0,0.0,277.13,5,0,0.0,289.43,22,0,0.0,315.21,12,0,0.0,305.96
August,2,2:30,2,0,0.0,290.97,4,0,0.0,296.9,16,0,0.0,324.22,8,0,0.0,322.6
August,2,3:00,2,0,0.0,273.63,3,0,0.0,268.48,13,0,0.0,307.95,3,0,0.0,344.18
August,2,3:30,1,0,0.0,235.63,3,0,0.0,205.34,13,0,0.0,297.68,1,0,0.0,312.42
August,2,4:00,1,0,0.0,243.68,3,0,0.0,248.29,12,0,0.0,331.78,0,0,0.0,382.21
August,2,4:30,1,0,0.0,243.48,3,0,0.0,301.48,12,0,0.0,341.0,0,0,0.0,377.57
August,2,5:00,1,0,0.0,272.12,3,0,3.3e-05,278.05,13,0,0.0,362.27,1,0,0.0,290.72
August,2,5:30,2,0,0.0,217.68,3,0,0.005423,298.31,16,0,0.0,318.75,3,0,0.0,259.41
August,2,6:00,2,0,0.0,242.91,5,0,0.086494,345.83,23,0,4e-06,290.42,9,0,8e-06,251.16
August,2,6:30,3,0,0.0,274.65,8,1,0.139235,333.75,40,0,0.000402,273.16,17,0,0.000737,261.66
August,2,7:00,7,0,0.0,259.84,17,0,0.024019,305.6,70,0,0.004905,260.83,29,0,0.009071,276.42
August,2,7:30,14,0,0.0,280.41,28,0,0.000671,315.62,116,1,0.008253,261.49,47,1,0.015333,292.02
August,2,8:00,33,0,0.0,268.38,51,0,0.000373,313.69,194,0,0.001886,273.44,80,0,0.003413,291.2
August,2,8:30,58,0,2e-06,277.89,80,0,0.005404,314.64,280,1,0.002006,290.53,120,0,0.002648,287.18
August,2,9:00,82,0,0.000182,278.49,152,2,0.011988,304.84,394,4,0.009182,296.99,173,2,0.009055,290.62
August,2,9:30,100,0,0.003171,278.11,204,3,0.015086,312.0,478,8,0.016239,308.25,218,3,0.015424,286.75
August,2,10:00,120,1,0.007495,287.34,252,4,0.01767,320.29,584,6,0.009736,315.89,256,5,0.019584,292.39
August,2,10:30,150,1,0.005641,292.48,292,7,0.023781,330.8,651,6,0.009463,324.58,300,7,0.024549,300.78
August,2,11:00,168,2,0.014372,294.61,331,7,0.021433,334.17,701,8,0.011058,328.66,339,6,0.017372,308.21
August,2,11:30,175,5,0.026888,294.75,362,8,0.020715,336.03,720,10,0.014456,333.59,355,3,0.008775,311.18
August,2,12:00,186,8,0.040861,302.15,383,7,0.017773,334.55,732,11,0.015513,334.87,367,3,0.007627,314.86
August,2,12:30,192,10,0.052173,303.6,398,11,0.028215,338.25,733,12,0.016084,334.7,376,4,0.011369,313.43
August,2,13:00,193,5,0.023723,310.04,412,15,0.035536,338.9,726,10,0.01447,337.15,380,5,0.01432,313.02
August,2,13:30,189,1,0.007597,314.76,426,17,0.039058,337.53,726,12,0.016726,339.09,381,7,0.017749,310.27
August,2,14:00,185,3,0.014771,315.87,440,16,0.036385,340.72,729,11,0.015728,339.51,381,8,0.021449,312.77
August,2,14:30,184,3,0.015086,313.51,440,11,0.025334,344.24,716,5,0.007521,338.47,382,12,0.031451,314.24
August,2,15:00,180,1,0.004336,311.02,432,6,0.013836,337.53,684,1,0.001503,339.99,374,7,0.018785,306.29
August,2,15:30,177,0,0.0002,318.66,426,5,0.012298,333.76,662,0,0.000599,337.77,357,4,0.009821,304.49
August,2,16:00,176,0,0.0002,320.02,422,5,0.01132,343.7,639,1,0.001855,339.07,344,3,0.007897,312.64
August,2,16:30,163,1,0.004682,303.97,403,4,0.008747,350.75,600,2,0.002617,338.09,322,2,0.006286,312.47
August,2,17:00,148,2,0.016352,311.44,386,3,0.007395,348.53,570,2,0.003754,339.71,301,2,0.006323,313.21
August,2,17:30,130,2,0.013349,320.4,369,4,0.011257,350.39,545,1,0.002374,339.5,284,1,0.003975,314.62
August,2,18:00,117,1,0.00603,325.25,339,7,0.019516,352.88,500,2,0.00404,338.95,259,1,0.003418,318.68
August,2,18:30,100,1,0.008984,330.41,309,6,0.019306,350.06,451,2,0.004791,341.61,233,0,0.001728,327.37
August,2,19:00,76,0,0.004171,323.96,273,4,0.014788,343.6,408,3,0.007111,340.86,217,0,0.001731,325.93
August,2,19:30,59,0,0.00025,318.99,241,5,0.021824,335.98,365,4,0.010673,338.94,194,0,0.000714,321.34
August,2,20:00,47,0,2e-06,299.45,211,9,0.042828,333.22,327,4,0.010697,339.38,168,0,0.001126,310.17
August,2,20:30,39,0,0.0,287.69,185,6,0.029918,320.64,276,2,0.00665,337.5,152,1,0.007252,304.09
August,2,21:00,29,0,0.0,300.32,153,4,0.028229,315.8,232,1,0.006195,336.46,126,2,0.016187,305.65
August,2,21:30,22,0,0.0,320.66,128,2,0.019324,319.66,192,0,0.002335,331.21,106,1,0.006457,309.72
August,2,22:00,16,0,0.0,350.59,102,1,0.013986,317.32,161,0,0.000129,321.48,93,0,0.000344,307.79
August,2,22:30,11,0,0.0,324.53,80,1,0.009632,315.5,131,0,1e-06,316.29,77,0,3e-06,307.46
August,2,23:00,9,0,0.0,319.25,63,1,0.017294,299.69,104,0,0.0,314.09,62,0,0.0,301.36
August,2,23:30,7,0,0.0,279.22,49,0,0.008224,299.15,91,0,0.0,311.29,51,0,0.0,288.31
August,3,0:00,3,0,0.0,318.31,39,0,0.0,278.52,56,0,0.0,305.63,39,0,0.0,290.97
August,3,0:30,3,0,0.0,333.43,28,0,0.0,283.67,45,0,0.0,313.4,28,0,0.0,290.39
August,3,1:00,3,0,0.0,332.91,13,0,0.0,315.5,34,0,0.0,291.5,22,0,0.0,320.09
August,3,1:30,2,0,0.0,309.74,8,0,0.0,331.73,27,0,0.0,284.14,16,0,0.0,343.95
August,3,2:00,2,0,0.0,234.69,6,0,0.0,343.95,20,0,0.0,297.12,12,0,0.0,343.83
August,3,2:30,1,0,0.0,272.67,4,0,0.0,295.78,15,0,0.0,300.12,8,0,0.0,352.58
August,3,3:00,2,0,0.0,326.07,4,0,0.0,299.6,12,0,0.0,319.2,3,0,0.0,333.03
August,3,3:30,2,0,0.0,422.89,3,0,0.0,252.68,10,0,0.0,364.95,1,0,0.0,250.3
August,3,4:00,2,0,0.0,364.91,3,0,0.0,206.17,9,0,0.0,383.55,0,0,0.0,205.21
August,3,4:30,2,0,0.0,256.44,3,0,0.0,318.67,9,0,0.0,353.81,1,0,0.0,245.15
August,3,5:00,2,0,0.0,200.64,2,0,0.0,404.28,10,0,0.0,318.01,1,0,0.0,291.73
August,3,5:30,2,0,0.0,212.39,3,0,0.0,305.68,12,0,0.0,266.72,1,0,0.0,270.95
August,3,6:00,3,0,0.0,239.69,3,0,0.0,256.04,18,0,0.0,257.73,6,0,0.0,227.43
August,3,6:30,2,0,0.0,238.08,5,0,0.0,249.65,29,0,0.0,256.74,12,0,0.0,251.46
August,3,7:00,5,0,0.0,263.92,10,0,0.0,267.58,44,0,0.0,260.6,21,0,0.0,288.73
August,3,7:30,7,0,0.0,285.6,14,0,0.0,281.27,70,0,0.0,263.56,35,0,0.0,294.75
August,3,8:00,14,0,0.0,268.62,25,0,0.0,271.88,112,0,0.0,270.66,53,0,0.0,288.9
August,3,8:30,17,0,0.0,269.94,40,0,0.0,286.31,151,0,0.0,282.58,71,0,6e-06,296.26
August,3,9:00,21,0,0.0,264.28,79,0,0.0,294.33,198,0,0.0,290.81,100,0,0.000665,289.17
August,3,9:30,25,0,0.0,285.95,105,0,0.0,299.13,246,0,0.0,287.32,122,2,0.012686,281.02
August,3,10:00,29,0,0.0,289.28,130,0,4e-06,297.67,301,0,0.0,288.5,144,7,0.048689,292.05
August,3,10:30,36,0,0.0,283.57,148,0,0.000573,302.8,357,0,0.0,294.88,173,11,0.063164,305.1
August,3,11:00,37,0,0.0,286.08,168,2,0.010835,301.02,392,0,3e-06,303.23,191,6,0.033391,301.22
August,3,11:30,41,0,6e-06,290.78,192,5,0.026753,302.07,432,0,0.000385,306.31,206,3,0.01558,299.29
August,3,12:00,58,0,0.000648,289.34,212,4,0.017333,301.21,461,4,0.008139,304.38,217,1,0.006103,297.5
August,3,12:30,71,1,0.01132,290.13,240,6,0.025334,301.7,470,15,0.031804,306.03,220,3,0.012384,296.03
August,3,13:00,83,2,0.026694,291.48,265,7,0.024585,298.42,476,25,0.052037,313.07,223,6,0.025923,301.76
August,3,13:30,87,1,0.009692,290.5,279,8,0.030051,301.88,479,30,0.062272,315.83,231,5,0.023484,301.52
August,3,14:00,91,1,0.010948,295.06,293,5,0.018473,305.88,482,18,0.037786,318.55,233,3,0.01157,302.06
August,3,14:30,92,3,0.029152,297.97,298,1,0.004089,308.78,481,6,0.012399,318.32,233,3,0.014931,301.55
August,3,15:00,91,2,0.01793,298.92,301,0,0.000353,306.93,479,1,0.001973,320.4,232,3,0.010837,304.82
August,3,15:30,92,2,0.02077,293.82,305,1,0.003752,305.56,470,0,8e-05,319.77,233,4,0.016065,303.91
August,3,16:00,92,1,0.007357,287.14,298,3,0.010797,306.31,460,0,0.0,317.15,226,3,0.012071,312.22
August,3,16:30,85,0,0.000371,278.51,285,2,0.008004,306.18,447,0,0.0,321.33,219,4,0.018234,311.44
August,3,17:00,75,0,3e-06,277.31,277,3,0.01172,306.45,426,0,0.0,319.94,212,1,0.006786,313.6
August,3,17:30,67,0,0.0,279.28,265,2,0.006698,303.61,403,0,0.0,314.74,205,1,0.002633,309.09
August,3,18:00,53,0,0.0,292.86,242,3,0.011953,303.79,354,0,0.0,315.38,191,1,0.006876,301.64
August,3,18:30,44,0,0.0,285.69,219,6,0.026104,298.97,329,0,0.0,315.37,176,0,0.002689,299.1
August,3,19:00,34,0,0.0,277.95,196,8,0.038802,294.23,302,0,0.0,317.0,161,0,0.000342,302.22
August,3,19:30,32,0,0.0,274.61,177,5,0.028995,302.88,274,0,0.0,315.41,157,1,0.004451,311.42
August,3,20:00,31,0,0.0,289.36,154,1,0.008015,300.72,249,0,0.0,308.8,144,2,0.013486,309.48
August,3,20:30,28,0,0.0,290.78,135,0,0.000401,296.99,224,0,0.0,310.96,128,1,0.005453,305.86
August,3,21:00,23,0,1e-05,298.53,122,0,3e-06,297.7,200,0,0.0,312.89,105,0,0.000312,308.2
August,3,21:30,17,0,0.0022,320.43,106,0,0.0,303.14,171,0,0.0,307.99,94,0,0.000197,312.72
August,3,22:00,15,1,0.055386,289.93,85,0,0.0,298.67,147,0,0.0,307.34,84,0,0.004693,309.63
August,3,22:30,12,2,0.183331,303.9,69,0,0.0,284.94,125,0,0.0,306.17,71,1,0.015221,305.38
August,3,23:00,9,1,0.087784,335.84,54,0,0.0,260.21,100,0,0.0,304.2,59,0,0.006691,313.43
August,3,23:30,8,0,0.004901,296.49,44,0,0.0,260.53,85,0,0.0,301.34,52,0,0.000352,334.19
August,4,0:00,4,0,0.0,365.57,26,0,0.0,361.75,57,0,0.0,333.81,33,0,0.0,326.3
August,4,0:30,3,0,0.0,331.43,21,0,0.0,350.22,47,0,0.0,328.59,26,0,0.0,326.86
August,4,1:00,2,0,0.0,339.75,12,0,0.0,366.56,35,0,0.0,329.39,19,0,0.0,337.51
August,4,1:30,2,0,0.0,346.66,7,0,0.0,343.31,25,0,0.0,331.83,15,0,0.0,324.04
August,4,2:00,2,0,0.0,400.68,5,0,0.0,296.9,18,0,0.0,321.39,10,0,0.0,316.17
August,4,2:30,2,0,0.0,326.51,5,0,0.0,310.76,15,0,0.0,343.67,9,0,0.0,330.28
August,4,3:00,2,0,0.0,238.25,4,0,0.0,343.74,12,0,0.0,338.29,6,0,0.0,348.45
August,4,3:30,2,0,0.0,268.17,3,0,0.0,355.43,11,0,0.0,329.42,5,0,0.0,290.23
August,4,4:00,2,0,0.0,269.63,3,0,0.0,304.5,11,0,0.0,317.22,5,0,0.0,284.84
August,4,4:30,2,0,0.0,204.03,3,0,0.0,270.62,10,0,0.0,302.85,5,0,0.0,256.87
August,4,5:00,2,0,0.0,217.88,3,0,6.7e-05,270.87,12,0,0.0,310.9,5,0,0.0,266.4
August,4,5:30,2,0,0.0,232.66,4,0,0.008547,241.44,18,0,0.0,279.43,6,0,0.0,282.52
August,4,6:00,2,0,0.0,245.29,5,1,0.135981,247.65,30,0,0.0,269.12,13,0,0.0,257.26
August,4,6:30,4,0,0.0,234.96,10,2,0.190692,317.62,51,0,0.0,284.02,21,0,0.0,253.72
August,4,7:00,8,0,0.0,251.25,29,1,0.022842,302.21,90,0,0.0,270.38,38,0,5e-06,271.55
August,4,7:30,18,0,8e-06,303.3,51,0,0.001186,290.62,152,0,2e-06,274.98,68,0,0.000449,278.36
August,4,8:00,47,0,0.000527,314.6,97,1,0.006483,298.47,281,0,0.00014,295.26,122,1,0.00533,280.82
August,4,8:30,88,1,0.006694,325.17,154,2,0.011412,312.69,435,1,0.002065,311.35,192,2,0.010275,292.17
August,4,9:00,136,3,0.02222,325.47,232,1,0.004301,324.57,621,4,0.006272,327.03,297,4,0.015051,303.22
August,4,9:30,178,5,0.027632,334.12,304,2,0.006664,334.0,790,9,0.010927,340.58,373,12,0.032051,315.66
August,4,10:00,211,2,0.007636,339.54,375,6,0.017094,340.61,941,15,0.01551,345.18,445,13,0.02914,324.55
August,4,10:30,237,0,0.000316,336.29,424,12,0.028264,350.78,1059,14,0.013064,353.06,497,19,0.038558,328.33
August,4,11:00,250,0,0.000311,341.88,470,10,0.0219,358.71,1142,17,0.014686,361.21,538,14,0.026651,331.44
August,4,11:30,257,2,0.006396,346.23,503,12,0.02341,362.59,1170,27,0.023441,365.07,573,14,0.024811,333.78
August,4,12:00,261,5,0.017668,340.69,542,10,0.018398,361.92,1197,28,0.023332,364.2,601,17,0.027961,338.12
August,4,12:30,265,3,0.009521,330.91,563,12,0.021773,365.5,1200,22,0.018278,365.77,607,19,0.030786,341.11
August,4,13:00,261,3,0.009584,333.77,587,12,0.020443,364.99,1194,18,0.015403,369.25,602,15,0.025597,342.42
August,4,13:30,260,1,0.003659,344.22,602,14,0.023551,358.6,1192,24,0.019777,373.84,610,12,0.019951,337.06
August,4,14:00,266,2,0.00656,345.38,610,10,0.017002,358.68,1208,24,0.019837,375.42,622,11,0.017327,335.46
August,4,14:30,272,6,0.021807,347.12,613,8,0.013128,361.77,1216,24,0.019826,375.32,633,11,0.017154,341.34
August,4,15:00,273,7,0.027359,346.82,615,6,0.010403,362.85,1216,14,0.011274,374.41,633,9,0.014212,343.03
August,4,15:30,275,8,0.028288,349.95,616,5,0.007456,362.9,1213,6,0.005282,375.49,625,11,0.016801,345.6
August,4,16:00,269,2,0.00897,349.58,619,4,0.006481,367.15,1208,6,0.005293,373.31,624,8,0.012711,350.54
August,4,16:30,261,1,0.003476,345.77,606,5,0.00776,370.81,1175,6,0.005476,373.94,614,9,0.014817,354.32
August,4,17:00,236,2,0.009369,348.16,578,4,0.007122,369.74,1111,6,0.005263,373.84,589,8,0.013088,353.87
August,4,17:30,213,1,0.003743,342.47,547,4,0.007492,372.71,1026,9,0.008953,373.39,551,7,0.012164,346.04
August,4,18:00,175,0,0.000213,340.47,488,6,0.01174,371.94,932,10,0.01067,373.48,490,5,0.009323,348.05
August,4,18:30,151,0,2e-06,350.11,450,8,0.016924,370.3,822,8,0.009208,377.39,432,4,0.009986,348.0
August,4,19:00,106,0,2e-06,350.2,403,6,0.01488,368.39,725,11,0.014589,380.9,394,8,0.021536,341.59
August,4,19:30,81,0,0.000404,348.99,372,6,0.017337,358.96,649,11,0.016673,379.16,365,15,0.039806,343.12
August,4,20:00,61,1,0.012755,346.17,330,9,0.028498,355.14,563,11,0.01993,376.29,319,13,0.042268,339.24
August,4,20:30,49,4,0.079539,350.81,274,6,0.022207,351.53,476,5,0.010776,370.01,270,7,0.027705,338.32
August,4,21:00,39,6,0.156543,346.49,223,4,0.018436,346.25,399,1,0.002107,364.26,224,6,0.026655,338.85
August,4,21:30,30,2,0.071307,332.3,183,1,0.006528,350.0,336,0,9.9e-05,356.72,186,3,0.015457,346.11
August,4,22:00,23,3,0.139289,334.65,144,0,0.000378,345.36,267,0,1e-06,351.01,152,1,0.003514,341.38
August,4,22:30,17,9,0.515984,343.78,112,0,3e-06,335.56,208,0,0.0,343.09,127,0,0.00325,343.79
August,4,23:00,14,3,0.222289,337.17,85,0,0.0,316.89,161,0,0.0,341.98,101,1,0.010765,348.63
August,4,23:30,11,0,0.013881,340.84,67,0,0.0,306.99,129,0,0.0,353.78,79,0,0.005186,336.9
August,5,0:00,5,0,0.0,377.05,34,0,0.0,318.75,75,0,0.0,352.03,47,0,0.0,328.26
August,5,0:30,4,0,0.0,313.55,25,0,0.0,324.16,57,0,0.0,350.5,36,0,0.0,354.26
August,5,1:00,3,0,0.0,298.32,14,0,0.0,337.05,41,0,0.0,342.46,27,0,0.0,375.8
August,5,1:30,2,0,0.0,287.03,7,0,0.0,342.2,30,0,0.0,313.61,20,0,0.0,360.11
August,5,2:00,2,0,0.0,319.85,5,0,0.0,351.41,22,0,0.0,301.2,14,0,0.0,330.94
August,5,2:30,2,0,0.0,258.69,4,0,0.0,377.26,18,0,0.0,293.3,10,0,0.0,323.74
August,5,3:00,2,0,0.0,254.53,4,0,0.0,328.28,14,0,0.0,297.3,4,0,0.0,331.25
August,5,3:30,2,0,0.0,263.39,3,0,0.0,256.94,13,0,0.0,310.43,1,0,0.0,295.16
August,5,4:00,2,0,0.0,261.8,3,0,0.0,228.86,12,0,0.0,311.78,1,0,0.0,226.44
August,5,4:30,2,0,0.0,281.07,3,0,0.0,221.06,12,0,0.0,293.77,1,0,0.0,199.95
August,5,5:00,2,0,0.0,244.73,3,0,0.000168,227.88,14,0,0.0,297.31,1,0,0.0,220.66
August,5,5:30,2,0,0.0,223.57,3,0,0.021306,293.47,19,0,0.0,296.89,3,0,0.0,267.58
August,5,6:00,3,0,0.0,248.94,5,2,0.287345,300.06,31,0,0.0,268.34,13,0,0.0,245.76
August,5,6:30,5,0,0.0,221.72,10,4,0.417485,306.67,52,0,0.0,257.23,24,0,0.0,249.92
August,5,7:00,9,0,3.1e-05,254.75,29,2,0.054489,290.29,93,0,0.0,270.49,44,0,0.0,278.38
August,5,7:30,20,0,0.002409,293.08,50,0,0.002116,292.22,155,0,0.0,283.3,75,0,0.0,288.49
August,5,8:00,50,1,0.020957,292.79,94,1,0.00735,300.9,270,0,1e-06,303.23,127,0,1e-06,290.41
August,5,8:30,88,4,0.041277,310.35,149,2,0.012925,316.96,403,0,0.000136,318.77,191,0,0.00011,295.15
August,5,9:00,130,4,0.028831,327.88,217,1,0.003188,324.29,577,1,0.002119,329.32,273,0,0.001784,303.0
August,5,9:30,171,2,0.014521,331.83,280,0,0.000573,333.67,726,5,0.00641,337.23,339,2,0.006698,314.21
August,5,10:00,202,1,0.003299,332.38,336,3,0.008187,339.69,847,9,0.010194,342.57,402,6,0.015275,322.79
August,5,10:30,224,1,0.002818,333.02,376,8,0.021557,347.62,948,15,0.015336,349.62,449,12,0.025665,327.72
August,5,11:00,238,2,0.007099,336.51,421,7,0.017409,353.04,1018,13,0.012325,354.32,489,10,0.020813,335.14
August,5,11:30,248,1,0.004294,337.39,452,11,0.024801,355.86,1051,13,0.01198,355.96,520,9,0.016939,335.46
August,5,12:00,252,2,0.008671,337.31,484,7,0.015052,362.24,1057,21,0.019539,358.43,540,8,0.01538,336.21
August,5,12:30,254,3,0.012595,332.9,502,6,0.011574,365.7,1063,24,0.022491,362.12,547,11,0.020462,336.48
August,5,13:00,254,1,0.00403,336.85,523,4,0.00808,365.78,1064,13,0.011778,363.36,547,11,0.019323,337.28
August,5,13:30,254,0,0.000186,342.31,537,9,0.015871,361.49,1064,9,0.008379,366.13,544,10,0.018055,339.34
August,5,14:00,259,0,1e-06,341.29,554,8,0.014858,360.06,1078,9,0.00875,368.74,557,9,0.015913,338.18
August,5,14:30,262,0,0.0,345.27,565,5,0.008363,362.47,1081,11,0.009998,372.28,557,6,0.010854,337.25
August,5,15:00,261,0,0.0,348.27,563,4,0.007246,360.04,1074,8,0.007373,371.46,555,4,0.008003,339.06
August,5,15:30,262,0,0.0,343.03,556,5,0.009349,359.59,1064,6,0.005423,371.96,560,4,0.007734,339.4
August,5,16:00,263,0,0.0,345.89,554,6,0.010932,366.28,1056,5,0.00498,371.14,564,4,0.007039,343.02
August,5,16:30,251,0,0.0,346.19,538,5,0.01021,368.74,1037,5,0.005139,368.9,546,4,0.008125,344.17
August,5,17:00,222,0,0.0,342.6,511,6,0.011663,370.83,982,7,0.007247,371.1,511,3,0.006297,341.72
August,5,17:30,193,0,0.0,339.18,493,6,0.012369,370.18,921,10,0.010936,369.83,485,2,0.00456,343.77
August,5,18:00,173,0,0.0,339.17,450,7,0.014685,365.38,850,12,0.013689,367.59,444,3,0.006124,347.88
August,5,18:30,147,0,2e-06,343.44,407,5,0.012096,361.95,741,7,0.009466,366.66,390,2,0.004557,345.67
August,5,19:00,101,0,0.000469,353.03,362,5,0.014909,358.75,665,5,0.007124,365.9,355,3,0.007965,341.73
August,5,19:30,75,1,0.014047,347.75,330,6,0.018028,357.67,589,5,0.007916,364.33,324,6,0.017682,344.44
