Month,Day,Interval,Service Level,Call Volume,Abandoned Calls,Abandoned Rate,CCT,client
April,3,23:30:00,0.7778,9.0,0.0,0.0,247.67,A
April,4,00:00:00,0.8,5.0,0.0,0.0,228.8,A
April,4,00:30:00,1.0,6.0,0.0,0.0,337.0,A
April,4,01:00:00,1.0,9.0,0.0,0.0,202.89,A
April,4,01:30:00,1.0,4.0,0.0,0.0,256.0,A
April,4,03:30:00,1.0,0.0,0.0,0.0,256.0,A
April,4,04:00:00,0.5,2.0,0.0,0.0,276.5,A
April,4,04:30:00,0.25,4.0,0.0,0.0,359.75,A
April,4,05:00:00,1.0,1.0,0.0,0.0,208.0,A
April,4,05:30:00,1.0,2.0,0.0,0.0,113.5,A
April,4,06:00:00,1.0,2.0,0.0,0.0,236.0,A
April,4,06:30:00,0.25,7.0,3.0,0.4286,333.75,A
April,4,07:00:00,0.75,8.0,0.0,0.0,288.5,A
April,4,07:30:00,0.9444,18.0,0.0,0.0,276.06,A
April,4,08:00:00,0.9333,45.0,0.0,0.0,273.38,A
April,4,08:30:00,1.0,86.0,0.0,0.0,271.07,A
April,4,09:00:00,0.9918,122.0,0.0,0.0,325.59,A
April,4,09:30:00,0.9885,174.0,0.0,0.0,283.62,A
April,4,10:00:00,0.988,166.0,0.0,0.0,298.48,A
April,4,10:30:00,0.9953,212.0,1.0,0.0047,330.84,A
April,4,11:00:00,0.9955,221.0,0.0,0.0,310.86,A
April,4,11:30:00,0.9957,232.0,1.0,0.0043,317.39,A
April,4,12:00:00,1.0,232.0,0.0,0.0,310.03,A
April,4,12:30:00,0.9652,230.0,0.0,0.0,327.65,A
April,4,13:00:00,0.938,260.0,2.0,0.0077,320.2,A
April,4,13:30:00,0.9261,257.0,0.0,0.0,310.3,A
April,4,14:00:00,1.0,234.0,0.0,0.0,291.21,A
April,4,14:30:00,0.8873,276.0,1.0,0.0036,294.69,A
April,4,15:00:00,0.7619,256.0,4.0,0.0156,315.11,A
April,4,15:30:00,0.9064,269.0,2.0,0.0074,327.46,A
April,4,16:00:00,0.9813,268.0,0.0,0.0,308.75,A
April,4,16:30:00,1.0,234.0,0.0,0.0,327.39,A
April,4,17:00:00,0.995,199.0,0.0,0.0,307.53,A
April,4,17:30:00,0.954,174.0,0.0,0.0,341.68,A
April,4,18:00:00,0.9448,163.0,0.0,0.0,323.99,A
April,4,18:30:00,0.9688,129.0,1.0,0.0078,340.3,A
April,4,19:00:00,1.0,62.0,0.0,0.0,327.85,A
April,4,19:30:00,0.9792,48.0,0.0,0.0,312.79,A
April,4,20:00:00,1.0,49.0,0.0,0.0,321.65,A
April,4,20:30:00,1.0,35.0,0.0,0.0,296.69,A
April,4,21:00:00,1.0,31.0,0.0,0.0,343.29,A
April,4,21:30:00,1.0,20.0,0.0,0.0,285.1,A
April,4,22:00:00,1.0,28.0,0.0,0.0,303.64,A
April,4,22:30:00,0.5833,12.0,0.0,0.0,187.5,A
April,4,23:00:00,0.6667,10.0,1.0,0.1,209.56,A
April,4,23:30:00,0.8571,8.0,1.0,0.125,336.29,A
April,5,00:00:00,0.75,5.0,1.0,0.2,430.5,A
April,5,00:30:00,1.0,7.0,0.0,0.0,378.0,A
April,5,01:00:00,1.0,3.0,0.0,0.0,716.67,A
April,5,01:30:00,0.5,3.0,1.0,0.3333,676.5,A
April,5,02:00:00,0.5,1.0,1.0,1.0,676.5,A
April,5,02:30:00,1.0,1.0,0.0,0.0,1500.0,A
April,5,03:00:00,1.0,3.0,0.0,0.0,167.0,A
April,5,03:30:00,1.0,1.0,0.0,0.0,1013.0,A
April,5,04:00:00,1.0,2.0,0.0,0.0,269.0,A
April,5,05:30:00,1.0,2.0,0.0,0.0,113.0,A
April,5,06:00:00,1.0,1.0,0.0,0.0,129.0,A
April,5,06:30:00,1.0,3.0,0.0,0.0,334.0,A
April,5,07:00:00,1.0,4.0,0.0,0.0,250.0,A
April,5,07:30:00,0.8333,7.0,1.0,0.1429,202.33,A
April,5,08:00:00,0.8966,29.0,0.0,0.0,246.69,A
April,5,08:30:00,1.0,48.0,0.0,0.0,261.96,A
April,5,09:00:00,0.962,79.0,0.0,0.0,293.37,A
April,5,09:30:00,0.9519,104.0,0.0,0.0,293.68,A
April,5,10:00:00,0.9189,111.0,0.0,0.0,254.3,A
April,5,10:30:00,0.8816,154.0,2.0,0.013,278.04,A
April,5,11:00:00,0.936,172.0,0.0,0.0,294.19,A
April,5,11:30:00,0.9755,163.0,0.0,0.0,272.81,A
April,5,12:00:00,0.7722,182.0,2.0,0.011,306.28,A
April,5,12:30:00,0.8283,202.0,4.0,0.0198,281.16,A
April,5,13:00:00,0.8989,188.0,0.0,0.0,294.5,A
April,5,13:30:00,0.9691,162.0,0.0,0.0,295.97,A
April,5,14:00:00,0.9827,173.0,0.0,0.0,278.04,A
April,5,14:30:00,0.904,178.0,1.0,0.0056,311.85,A
April,5,15:00:00,0.9938,163.0,1.0,0.0061,301.06,A
April,5,15:30:00,0.9503,161.0,0.0,0.0,318.52,A
April,5,16:00:00,1.0,172.0,0.0,0.0,251.78,A
April,5,16:30:00,1.0,154.0,0.0,0.0,280.45,A
April,5,17:00:00,0.9597,125.0,1.0,0.008,340.96,A
April,5,17:30:00,0.855,131.0,0.0,0.0,277.89,A
April,5,18:00:00,0.7581,127.0,3.0,0.0236,316.95,A
April,5,18:30:00,1.0,79.0,0.0,0.0,334.23,A
April,5,19:00:00,1.0,70.0,0.0,0.0,257.41,A
April,5,19:30:00,1.0,41.0,0.0,0.0,302.68,A
April,5,20:00:00,1.0,45.0,1.0,0.0222,293.8,A
April,5,20:30:00,0.9615,26.0,0.0,0.0,232.85,A
April,5,21:00:00,1.0,20.0,2.0,0.1,223.17,A
April,5,21:30:00,0.875,24.0,0.0,0.0,358.96,A
April,5,22:00:00,1.0,15.0,0.0,0.0,385.07,A
April,5,22:30:00,0.375,9.0,1.0,0.1111,284.38,A
April,5,23:00:00,0.3,13.0,3.0,0.2308,355.9,A
April,5,23:30:00,1.0,2.0,0.0,0.0,268.0,A
April,6,00:00:00,0.5,2.0,0.0,0.0,762.0,A
April,6,00:30:00,0.0,3.0,2.0,0.6667,366.0,A
April,6,01:30:00,1.0,1.0,0.0,0.0,371.0,A
April,6,02:00:00,1.0,1.0,0.0,0.0,21.0,A
April,6,02:30:00,1.0,0.0,0.0,0.0,21.0,A
April,6,03:00:00,1.0,2.0,0.0,0.0,308.0,A
April,6,05:30:00,1.0,0.0,0.0,0.0,308.0,A
April,6,06:00:00,1.0,1.0,0.0,0.0,222.0,A
April,6,06:30:00,1.0,1.0,0.0,0.0,106.0,A
April,6,07:00:00,1.0,5.0,0.0,0.0,493.8,A
April,6,07:30:00,1.0,1.0,0.0,0.0,278.0,A
April,6,08:00:00,1.0,3.0,0.0,0.0,260.33,A
April,6,08:30:00,1.0,9.0,0.0,0.0,207.11,A
April,6,09:00:00,1.0,25.0,0.0,0.0,221.4,A
April,6,09:30:00,1.0,21.0,0.0,0.0,314.57,A
April,6,10:00:00,1.0,21.0,0.0,0.0,261.71,A
April,6,10:30:00,1.0,39.0,0.0,0.0,258.0,A
April,6,11:00:00,0.973,37.0,0.0,0.0,266.73,A
April,6,11:30:00,1.0,34.0,0.0,0.0,350.65,A
April,6,12:00:00,1.0,47.0,0.0,0.0,313.72,A
April,6,12:30:00,0.9828,58.0,0.0,0.0,285.52,A
April,6,13:00:00,0.7625,86.0,6.0,0.0698,278.14,A
April,6,13:30:00,0.8904,73.0,0.0,0.0,255.34,A
April,6,14:00:00,1.0,71.0,0.0,0.0,257.17,A
April,6,14:30:00,1.0,91.0,1.0,0.011,263.13,A
April,6,15:00:00,0.9559,69.0,1.0,0.0145,334.79,A
April,6,15:30:00,0.9398,83.0,0.0,0.0,268.7,A
April,6,16:00:00,0.9875,80.0,0.0,0.0,328.65,A
April,6,16:30:00,1.0,77.0,0.0,0.0,252.25,A
April,6,17:00:00,1.0,55.0,0.0,0.0,273.67,A
April,6,17:30:00,1.0,51.0,0.0,0.0,272.84,A
April,6,18:00:00,1.0,46.0,0.0,0.0,312.85,A
April,6,18:30:00,1.0,35.0,0.0,0.0,320.77,A
April,6,19:00:00,1.0,28.0,0.0,0.0,289.57,A
April,6,19:30:00,1.0,22.0,0.0,0.0,291.95,A
April,6,20:00:00,0.9474,19.0,0.0,0.0,238.68,A
April,6,20:30:00,1.0,14.0,0.0,0.0,284.07,A
April,6,21:00:00,1.0,14.0,0.0,0.0,296.14,A
April,6,21:30:00,1.0,9.0,0.0,0.0,373.67,A
April,6,22:00:00,1.0,21.0,0.0,0.0,263.05,A
April,6,22:30:00,0.6,12.0,2.0,0.1667,324.2,A
April,6,23:00:00,0.8571,7.0,0.0,0.0,374.43,A
April,6,23:30:00,1.0,5.0,0.0,0.0,200.0,A
April,7,00:00:00,1.0,5.0,0.0,0.0,350.4,A
April,7,00:30:00,1.0,5.0,0.0,0.0,266.8,A
April,7,01:00:00,1.0,1.0,0.0,0.0,286.0,A
April,7,01:00:00,1.0,1.0,0.0,0.0,286.0,A
April,7,01:00:00,1.0,1.0,0.0,0.0,286.0,A
April,7,01:00:00,1.0,1.0,0.0,0.0,286.0,A
April,7,01:00:00,1.0,1.0,0.0,0.0,286.0,A
April,7,01:00:00,1.0,1.0,0.0,0.0,286.0,A
April,7,01:00:00,1.0,1.0,0.0,0.0,286.0,A
April,7,01:00:00,1.0,1.0,0.0,0.0,286.0,A
April,7,06:30:00,1.0,1.0,0.0,0.0,53.0,A
April,7,07:00:00,0.8571,8.0,1.0,0.125,185.29,A
April,7,07:30:00,1.0,6.0,0.0,0.0,540.83,A
April,7,08:00:00,1.0,33.0,0.0,0.0,305.48,A
April,7,08:30:00,0.8506,87.0,0.0,0.0,297.95,A
April,7,09:00:00,0.9292,113.0,0.0,0.0,319.73,A
April,7,09:30:00,0.9657,176.0,1.0,0.0057,368.04,A
April,7,10:00:00,0.977,174.0,0.0,0.0,323.98,A
April,7,10:30:00,0.9898,197.0,0.0,0.0,309.25,A
April,7,11:00:00,0.9959,242.0,0.0,0.0,332.38,A
April,7,11:30:00,0.9879,249.0,1.0,0.004,314.4,A
April,7,12:00:00,0.9317,249.0,0.0,0.0,309.31,A
April,7,12:30:00,0.9804,255.0,0.0,0.0,321.7,A
April,7,13:00:00,0.9668,301.0,0.0,0.0,299.98,A
April,7,13:30:00,0.9913,231.0,0.0,0.0,347.18,A
April,7,14:00:00,0.9851,268.0,0.0,0.0,319.88,A
April,7,14:30:00,0.8652,284.0,2.0,0.007,334.34,A
April,7,15:00:00,0.8095,295.0,1.0,0.0034,322.28,A
April,7,15:30:00,0.9852,270.0,0.0,0.0,354.54,A
April,7,16:00:00,0.9924,264.0,1.0,0.0038,320.65,A
April,7,16:30:00,0.9919,246.0,0.0,0.0,340.08,A
April,7,17:00:00,1.0,238.0,0.0,0.0,357.74,A
April,7,17:30:00,0.9859,213.0,0.0,0.0,308.02,A
April,7,18:00:00,0.9938,160.0,0.0,0.0,314.43,A
April,7,18:30:00,0.9853,136.0,0.0,0.0,297.23,A
April,7,19:00:00,1.0,90.0,0.0,0.0,339.97,A
April,7,19:30:00,0.9773,88.0,0.0,0.0,341.27,A
April,7,20:00:00,1.0,67.0,0.0,0.0,311.31,A
April,7,20:30:00,0.9714,37.0,2.0,0.0541,384.31,A
April,7,21:00:00,0.973,39.0,2.0,0.0513,260.86,A
April,7,21:30:00,1.0,20.0,0.0,0.0,548.85,A
April,7,22:00:00,1.0,18.0,0.0,0.0,226.67,A
April,7,22:30:00,0.4,10.0,0.0,0.0,283.1,A
April,7,23:00:00,0.8,15.0,0.0,0.0,226.0,A
April,7,23:30:00,1.0,6.0,0.0,0.0,613.17,A
April,8,00:00:00,1.0,5.0,0.0,0.0,351.8,A
April,8,00:30:00,1.0,11.0,0.0,0.0,480.64,A
April,8,01:00:00,1.0,4.0,0.0,0.0,481.0,A
April,8,01:30:00,1.0,6.0,0.0,0.0,286.67,A
April,8,02:00:00,1.0,2.0,0.0,0.0,372.0,A
April,8,02:30:00,1.0,1.0,0.0,0.0,2.0,A
April,8,04:00:00,1.0,1.0,0.0,0.0,211.0,A
April,8,04:30:00,1.0,2.0,0.0,0.0,121.5,A
April,8,05:00:00,1.0,3.0,0.0,0.0,217.67,A
April,8,05:30:00,1.0,3.0,0.0,0.0,134.67,A
April,8,06:00:00,1.0,1.0,0.0,0.0,206.0,A
April,8,06:30:00,0.1429,8.0,1.0,0.125,206.29,A
April,8,07:00:00,0.4,5.0,0.0,0.0,268.4,A
April,8,07:30:00,0.9286,14.0,0.0,0.0,297.79,A
April,8,08:00:00,0.9412,34.0,0.0,0.0,250.41,A
April,8,08:30:00,0.8372,88.0,2.0,0.0227,285.71,A
April,8,09:00:00,0.9265,137.0,1.0,0.0073,320.65,A
April,8,09:30:00,0.9333,155.0,5.0,0.0323,331.31,A
April,8,10:00:00,0.7402,206.0,2.0,0.0097,351.02,A
April,8,10:30:00,0.9674,215.0,0.0,0.0,316.95,A
April,8,11:00:00,0.9655,204.0,1.0,0.0049,327.58,A
April,8,11:30:00,0.9461,243.0,2.0,0.0082,312.43,A
April,8,12:00:00,0.8442,283.0,7.0,0.0247,336.92,A
April,8,12:30:00,0.7085,252.0,5.0,0.0198,317.16,A
April,8,13:00:00,0.9955,224.0,0.0,0.0,325.81,A
April,8,13:30:00,0.9592,245.0,0.0,0.0,367.21,A
April,8,14:00:00,0.9704,270.0,0.0,0.0,291.77,A
April,8,14:30:00,1.0,179.0,1.0,0.0056,318.51,A
April,8,15:00:00,0.916,262.0,0.0,0.0,314.62,A
April,8,15:30:00,0.9176,268.0,1.0,0.0037,340.09,A
April,8,16:00:00,0.8479,264.0,1.0,0.0038,349.78,A
April,8,16:30:00,0.9885,262.0,1.0,0.0038,329.97,A
April,8,17:00:00,0.9954,216.0,0.0,0.0,282.39,A
April,8,17:30:00,0.9793,193.0,0.0,0.0,379.38,A
April,8,18:00:00,0.8276,176.0,2.0,0.0114,324.32,A
April,8,18:30:00,0.9348,138.0,0.0,0.0,326.01,A
April,8,19:00:00,1.0,82.0,0.0,0.0,311.16,A
April,8,19:30:00,1.0,94.0,0.0,0.0,276.96,A
April,8,20:00:00,1.0,47.0,0.0,0.0,362.6,A
April,8,20:30:00,1.0,52.0,0.0,0.0,272.9,A
April,8,21:00:00,0.9459,38.0,1.0,0.0263,342.89,A
April,8,21:30:00,1.0,23.0,0.0,0.0,347.83,A
April,8,22:00:00,1.0,21.0,0.0,0.0,271.0,A
April,8,22:30:00,0.5556,22.0,4.0,0.1818,273.33,A
April,8,23:00:00,0.2667,15.0,0.0,0.0,427.93,A
April,8,23:30:00,1.0,8.0,0.0,0.0,339.0,A
April,9,00:00:00,1.0,8.0,0.0,0.0,279.38,A
April,9,00:30:00,1.0,4.0,0.0,0.0,150.5,A
April,9,01:30:00,1.0,1.0,0.0,0.0,315.0,A
April,9,02:00:00,1.0,2.0,0.0,0.0,257.0,A
April,9,02:30:00,1.0,1.0,0.0,0.0,170.0,A
April,9,03:00:00,1.0,2.0,0.0,0.0,288.5,A
April,9,03:30:00,1.0,3.0,0.0,0.0,441.67,A
April,9,04:00:00,1.0,2.0,0.0,0.0,183.5,A
April,9,05:00:00,1.0,1.0,0.0,0.0,549.0,A
April,9,05:30:00,1.0,1.0,0.0,0.0,226.0,A
April,9,06:00:00,1.0,3.0,0.0,0.0,286.67,A
April,9,06:30:00,1.0,1.0,0.0,0.0,117.0,A
April,9,07:00:00,1.0,3.0,0.0,0.0,286.67,A
April,9,07:30:00,0.875,8.0,0.0,0.0,356.88,A
April,9,08:00:00,0.9318,44.0,0.0,0.0,258.14,A
April,9,08:30:00,0.8391,90.0,3.0,0.0333,280.07,A
April,9,09:00:00,0.8417,121.0,1.0,0.0083,317.23,A
April,9,09:30:00,0.902,154.0,1.0,0.0065,323.79,A
April,9,10:00:00,0.9454,185.0,2.0,0.0108,324.23,A
April,9,10:30:00,0.9842,190.0,0.0,0.0,324.04,A
April,9,11:00:00,0.9548,221.0,0.0,0.0,308.81,A
April,9,11:30:00,0.9677,218.0,1.0,0.0046,306.63,A
April,9,12:00:00,0.6769,232.0,3.0,0.0129,315.1,A
April,9,12:30:00,0.9772,220.0,1.0,0.0045,318.79,A
April,9,13:00:00,0.9951,204.0,0.0,0.0,292.59,A
April,9,13:30:00,1.0,197.0,0.0,0.0,317.41,A
April,9,14:00:00,0.9951,205.0,0.0,0.0,324.2,A
April,9,14:30:00,0.9696,230.0,0.0,0.0,310.72,A
April,9,15:00:00,0.9328,253.0,0.0,0.0,331.55,A
April,9,15:30:00,0.9733,226.0,1.0,0.0044,311.28,A
April,9,16:00:00,0.995,202.0,0.0,0.0,328.49,A
April,9,16:30:00,0.9949,197.0,1.0,0.0051,295.94,A
April,9,17:00:00,0.9745,196.0,0.0,0.0051,295.94,A
April,9,17:30:00,0.9108,157.0,0.0,0.0051,295.94,A
April,9,18:00:00,0.8355,153.0,1.0,0.0051,295.94,A
April,9,18:30:00,0.9856,139.0,0.0,0.0051,295.94,A
April,9,19:00:00,1.0,80.0,0.0,0.0051,295.94,A
April,9,19:30:00,1.0,52.0,0.0,0.0051,295.94,A
April,9,20:00:00,1.0,44.0,0.0,0.0051,295.94,A
April,9,20:30:00,1.0,40.0,2.0,0.0051,295.94,A
April,9,21:00:00,1.0,20.0,1.0,0.0051,295.94,A
April,9,21:30:00,1.0,14.0,0.0,0.0051,295.94,A
April,9,22:00:00,1.0,20.0,0.0,0.0051,295.94,A
April,9,22:30:00,0.5,12.0,0.0,0.0051,295.94,A
April,9,23:00:00,0.8,6.0,1.0,0.0051,295.94,A
April,9,23:30:00,0.8,5.0,0.0,0.0051,295.94,A
April,10,00:00:00,1.0,4.0,0.0,0.0051,295.94,A
April,10,00:30:00,1.0,4.0,0.0,0.0051,295.94,A
April,10,01:00:00,1.0,3.0,0.0,0.0051,295.94,A
April,10,01:30:00,1.0,2.0,0.0,0.0,379.5,A
April,10,02:00:00,1.0,1.0,0.0,0.0,154.0,A
April,10,02:30:00,1.0,0.0,0.0,0.0,154.0,A
April,10,03:00:00,1.0,1.0,0.0,0.0,315.0,A
April,10,04:30:00,1.0,1.0,0.0,0.0,470.0,A
April,10,05:00:00,1.0,3.0,0.0,0.0,169.67,A
April,10,05:30:00,1.0,3.0,0.0,0.0,141.33,A
April,10,06:00:00,1.0,4.0,2.0,0.5,307.0,A
April,10,06:30:00,0.5,2.0,0.0,0.0,271.0,A
April,10,07:00:00,0.5714,8.0,1.0,0.125,321.57,A
April,10,07:30:00,0.1538,15.0,2.0,0.1333,245.62,A
April,10,08:00:00,0.8478,46.0,0.0,0.0,282.2,A
April,10,08:30:00,0.7344,65.0,1.0,0.0154,328.0,A
April,10,09:00:00,0.9434,106.0,0.0,0.0,315.42,A
