Portfolio,dow,slot,abd_share_profile
A,4,46,0.05587395086887503
A,4,47,0.013641248668572399
A,5,0,0.0
A,5,1,0.0
A,5,2,0.0
A,5,3,0.0
A,5,4,0.0
A,5,5,0.0
A,5,6,0.0
A,5,7,0.0
A,5,8,0.0
A,5,9,0.0
A,5,10,0.0
A,5,11,0.0
A,5,12,0.0
A,5,13,0.0
A,5,14,0.0
A,5,15,0.0
A,5,16,0.0
A,5,17,1.958846197713712e-06
A,5,18,0.0003219500604016767
A,5,19,0.006877784695925454
A,5,20,0.01956628872089308
A,5,21,0.018307885790050077
A,5,22,0.0523964343476582
A,5,23,0.10232474821475478
A,5,24,0.16491836593891018
A,5,25,0.21792950640998426
A,5,26,0.09920023118596275
A,5,27,0.03112982226340405
A,5,28,0.059272609644973585
A,5,29,0.060321930678973006
A,5,30,0.016941372773291823
A,5,31,0.0007687862243166408
A,5,32,0.0007666056219456011
A,5,33,0.0165829755362409
A,5,34,0.052667346016302304
A,5,35,0.03777873788732211
A,5,36,0.015287726427080074
A,5,37,0.019436021893225224
A,5,38,0.006877001915587132
A,5,39,0.0003219500604016767
A,5,40,1.958846197713712e-06
A,5,41,0.0
A,5,42,0.0
A,5,43,0.0
A,5,44,0.0
A,5,45,0.0
A,5,46,0.0
A,5,47,0.0
A,6,0,0.0
A,6,1,0.0
A,6,2,0.0
A,6,3,0.0
A,6,4,0.0
A,6,5,0.0
A,6,6,0.0
A,6,7,0.0
A,6,8,0.0
A,6,9,0.0
A,6,10,0.0
A,6,11,0.0
A,6,12,0.0
A,6,13,0.0
A,6,14,0.0
A,6,15,0.0
A,6,16,0.0
A,6,17,0.0
A,6,18,0.0
A,6,19,0.0
A,6,20,0.0
A,6,21,0.0
A,6,22,0.0
A,6,23,1.440999406957692e-05
A,6,24,0.0023683832178876007
A,6,25,0.050573717563160904
A,6,26,0.14032523757374465
A,6,27,0.0534026197400822
A,6,28,0.06278802879895055
A,6,29,0.16960142385130247
A,6,30,0.10304808137461054
A,6,31,0.12112782575269586
A,6,32,0.042657797333751454
A,6,33,0.001996872124885624
A,6,34,1.214960284297662e-05
A,6,35,0.0
A,6,36,0.0
A,6,37,0.0
A,6,38,0.0
A,6,39,0.0
A,6,40,0.0
A,6,41,0.0
A,6,42,1.4753089166471608e-05
A,6,43,0.002424773294503972
A,6,44,0.05177785369561711
A,6,45,0.14364869291344054
A,6,46,0.05177785369561711
A,6,47,0.0024395263836704435
B,0,0,0.0
B,0,1,0.0
B,0,2,0.0
B,0,3,0.0
B,0,4,0.0
B,0,5,0.0
B,0,6,0.0
B,0,7,0.0
B,0,8,0.0
B,0,9,0.0
B,0,10,9.86407667278656e-07
B,0,11,0.00016212299282695097
B,0,12,0.003461923892974357
B,0,13,0.00960450862090623
B,0,14,0.003462859859340468
B,0,15,0.00031595560533888734
B,0,16,0.003286373305402722
B,0,17,0.009195803222602748
B,0,18,0.00524667880794656
B,0,19,0.010630794089202875
B,0,20,0.03366871262077332
B,0,21,0.0629383499820246
B,0,22,0.054080380971422516
B,0,23,0.06177541715084407
B,0,24,0.05233006404046854
B,0,25,0.06439199965484298
B,0,26,0.06296698760972273
B,0,27,0.07445632014351183
B,0,28,0.05439541350265621
B,0,29,0.04227089176113658
B,0,30,0.03358873729800393
B,0,31,0.02411901617558456
B,0,32,0.02104017899913933
B,0,33,0.024664615642595315
B,0,34,0.021594763509197496
B,0,35,0.021516829183265057
B,0,36,0.03006171223132734
B,0,37,0.0399940807694663
B,0,38,0.03145954017054841
B,0,39,0.03387037632435456
B,0,40,0.049403731111250564
B,0,41,0.0319013682182183
B,0,42,0.021576799329553083
B,0,43,0.00627783368033303
B,0,44,0.0002861391147035009
B,0,45,1.7340008466898475e-06
B,0,46,0.0
B,0,47,0.0
B,1,0,0.0
B,1,1,0.0
B,1,2,0.0
B,1,3,0.0
B,1,4,0.0
B,1,5,0.0
B,1,6,0.0
B,1,7,0.0
B,1,8,0.0
B,1,9,0.0
B,1,10,2.8370512586302754e-06
B,1,11,0.00046628919878688864
B,1,12,0.009956994317513295
B,1,13,0.027623957290033682
B,1,14,0.009958241936440283
B,1,15,0.0006713440874100385
B,1,16,0.004381515275225322
B,1,17,0.012147884832364212
B,1,18,0.004383609289249549
B,1,19,0.001016137514736794
B,1,20,0.017417072873883888
B,1,21,0.05128065387201434
B,1,22,0.046340787480398236
B,1,23,0.07095117521930829
B,1,24,0.0460612762979335
B,1,25,0.03672611063185767
B,1,26,0.026711565860879263
B,1,27,0.053882966468825746
B,1,28,0.05207731699116888
B,1,29,0.02986140889231974
B,1,30,0.02577891296852218
B,1,31,0.032881916528033364
B,1,32,0.03832284820745526
B,1,33,0.03472905416076158
B,1,34,0.03770956652769461
B,1,35,0.03855963180397938
B,1,36,0.04178567419930187
B,1,37,0.031095815055961318
B,1,38,0.03410974777533792
B,1,39,0.03762534207294817
B,1,40,0.06412621326662994
B,1,41,0.053796794442401534
B,1,42,0.02303795029329145
B,1,43,0.004339681207357975
B,1,44,0.00018062743818467907
B,1,45,1.0786705306250525e-06
B,1,46,0.0
B,1,47,0.0
B,2,0,0.0
B,2,1,0.0
B,2,2,0.0
B,2,3,0.0
B,2,4,0.0
B,2,5,0.0
B,2,6,0.0
B,2,7,0.0
B,2,8,0.0
B,2,9,0.0
B,2,10,2.0963183472600043e-06
B,2,11,0.0003445445687921949
B,2,12,0.007360076248558639
B,2,13,0.02086827006307655
B,2,14,0.01711170097407994
B,2,15,0.02768227082375898
B,2,16,0.01574636728043142
B,2,17,0.017184567877053886
B,2,18,0.008733458311897018
B,2,19,0.01909832651827634
B,2,20,0.07022711332038438
B,2,21,0.11681972096868433
B,2,22,0.05980056097263152
B,2,23,0.061958422236413575
B,2,24,0.03293614446846002
B,2,25,0.03917874973393362
B,2,26,0.04131682146011326
B,2,27,0.04079274275897084
B,2,28,0.02967070881554484
B,2,29,0.03991865616377629
B,2,30,0.028981190658883618
B,2,31,0.028208799263200468
B,2,32,0.026080401266532167
B,2,33,0.016228895950999075
B,2,34,0.008289925172223779
B,2,35,0.023760537868719032
B,2,36,0.04048358800941734
B,2,37,0.020949335564440542
B,2,38,0.02808250283674544
B,2,39,0.0362946544506515
B,2,40,0.03699479275422732
B,2,41,0.01672903692252397
B,2,42,0.0162278409156479
B,2,43,0.0056701713127793206
B,2,44,0.00026539243812371773
B,2,45,1.6147316999164902e-06
B,2,46,0.0
B,2,47,0.0
B,3,0,0.0
B,3,1,0.0
B,3,2,0.0
B,3,3,0.0
B,3,4,0.0
B,3,5,0.0
B,3,6,0.0
B,3,7,0.0
B,3,8,0.0
B,3,9,0.0
B,3,10,2.2733191875099064e-06
B,3,11,0.0003736358937140364
B,3,12,0.007979882268576351
B,3,13,0.022361425740161023
B,3,14,0.012815207426067664
B,3,15,0.013993507129039792
B,3,16,0.009210831745056727
B,3,17,0.01257180253837895
B,3,18,0.00900059892854545
B,3,19,0.013403345007414672
B,3,20,0.012781484636754494
B,3,21,0.030681247858856994
B,3,22,0.052944174556835116
B,3,23,0.08230759342366574
B,3,24,0.06546507475590016
B,3,25,0.06324405223931595
B,3,26,0.0648792570338476
B,3,27,0.09363254177074724
B,3,28,0.06276069400470344
B,3,29,0.04907533206299197
B,3,30,0.03662106629844152
B,3,31,0.03575519077677554
B,3,32,0.02833325588088042
B,3,33,0.02262127457674251
B,3,34,0.01134675836748687
B,3,35,0.020971510240338456
B,3,36,0.031761577653060834
B,3,37,0.028090022412566175
B,3,38,0.027699647368030753
B,3,39,0.02615915972963313
B,3,40,0.022490651227970497
B,3,41,0.006487160322578327
B,3,42,0.0005049246240304276
B,3,43,0.004496715107763324
B,3,44,0.012470411123363773
B,3,45,0.00449493211232214
B,3,46,0.00021049909505016135
B,3,47,1.280743204230933e-06
B,4,0,0.0
B,4,1,0.0
B,4,2,0.0
B,4,3,0.0
B,4,4,0.0
B,4,5,0.0
B,4,6,0.0
B,4,7,0.0
B,4,8,0.0
B,4,9,1.3713281393527244e-07
B,4,10,2.4850859237328322e-05
B,4,11,0.0008612987286688088
B,4,12,0.009450870266855375
B,4,13,0.02314799311548511
B,4,14,0.011424394588778829
B,4,15,0.00963215026518325
B,4,16,0.0062972862639178
B,4,17,0.011487377029955947
B,4,18,0.014772392357498323
B,4,19,0.012203887615877845
B,4,20,0.011005388968727
B,4,21,0.02360756834974112
B,4,22,0.04242745087190433
B,4,23,0.062489600038946026
B,4,24,0.05005697843887791
B,4,25,0.052990742432906295
B,4,26,0.05229095952615036
B,4,27,0.05724502303038817
B,4,28,0.06996149589897226
B,4,29,0.07037936932329301
B,4,30,0.039119890539103835
B,4,31,0.03283437190671509
B,4,32,0.033664251262120505
B,4,33,0.03255525258393514
B,4,34,0.03150769173549929
B,4,35,0.037765976131179144
B,4,36,0.042823872688311185
B,4,37,0.030108797055693765
B,4,38,0.03762092335613791
B,4,39,0.027909744945508186
B,4,40,0.020611297216948314
B,4,41,0.015353425213583089
B,4,42,0.010476165160647737
B,4,43,0.011842181967580068
B,4,44,0.003868807138220623
B,4,45,0.00017904849953125556
B,4,46,1.0874951058587886e-06
B,4,47,0.0
B,5,0,0.0025278916907301155
B,5,1,0.0007011246566116236
B,5,2,3.1555889318015414e-05
B,5,3,1.9083493089160262e-07
B,5,4,0.0
B,5,5,0.0
B,5,6,0.0
B,5,7,0.0
B,5,8,0.0
B,5,9,0.0
B,5,10,6.169851149127001e-07
B,5,11,0.0001014058149358138
B,5,12,0.0021653881876431192
B,5,13,0.006007494722236201
B,5,14,0.0021653881876431192
B,5,15,0.0001020228000507265
B,5,16,0.00010308850161284844
B,5,17,0.002341609387730738
B,5,18,0.009925632215627752
B,5,19,0.016738653976858357
B,5,20,0.02423316740578677
B,5,21,0.03783801041298259
B,5,22,0.03861128531359509
B,5,23,0.04083806583406549
B,5,24,0.03703151400975847
B,5,25,0.0610293381632281
B,5,26,0.07955144922798789
B,5,27,0.09057917326543269
B,5,28,0.08706439168133921
B,5,29,0.06068156917536208
B,5,30,0.03251661998325502
B,5,31,0.02850517877882829
B,5,32,0.025977858197598014
B,5,33,0.01917984094001068
B,5,34,0.015538291419853694
B,5,35,0.022568555049994478
B,5,36,0.035999544891798255
B,5,37,0.03242411717657115
B,5,38,0.021993920110565248
B,5,39,0.028617601990083955
B,5,40,0.04919913177882961
B,5,41,0.030149598625192384
B,5,42,0.02343929779505797
B,5,43,0.013427816232743629
B,5,44,0.0077505036555373516
B,5,45,0.004212745523337895
B,5,46,0.005928161393654995
B,5,47,0.002201188116504809
B,6,0,0.0
B,6,1,0.0
B,6,2,0.0
B,6,3,0.0
B,6,4,0.0
B,6,5,0.0
B,6,6,0.0
B,6,7,0.0
B,6,8,0.0
B,6,9,0.0
B,6,10,0.0
B,6,11,0.0
B,6,12,0.0
B,6,13,0.0
B,6,14,0.0
B,6,15,0.0
B,6,16,0.0
B,6,17,0.0
B,6,18,0.0
B,6,19,0.0
B,6,20,7.122320332626295e-06
B,6,21,0.0011706031152243915
B,6,22,0.02500383138539182
B,6,23,0.07052534017219994
B,6,24,0.05059840489086649
B,6,25,0.08376321381763491
B,6,26,0.08946663817070621
B,6,27,0.11532447242506877
B,6,28,0.07438147400557728
B,6,29,0.016756363878378144
B,6,30,0.0014601373321490555
B,6,31,0.015721037273849697
B,6,32,0.04432660876684717
B,6,33,0.03142668660012636
B,6,34,0.04470432142978204
B,6,35,0.024429914403152578
B,6,36,0.0397901144553552
B,6,37,0.07848805925759017
B,6,38,0.10444898664861862
B,6,39,0.0705158927477431
B,6,40,0.016943030865468802
B,6,41,0.0007432691508704642
B,6,42,4.4768870662222426e-06
B,6,43,0.0
B,6,44,0.0
B,6,45,0.0
B,6,46,0.0
B,6,47,0.0
C,0,0,0.0
C,0,1,0.0
C,0,2,0.0
C,0,3,0.0
C,0,4,0.0
C,0,5,0.0
C,0,6,0.0
C,0,7,0.0
C,0,8,0.0
C,0,9,0.0
C,0,10,0.0
C,0,11,0.0
C,0,12,0.0
C,0,13,0.0
C,0,14,0.0
C,0,15,7.182379318474389e-07
C,0,16,0.00011926607252787778
C,0,17,0.002724291211802672
C,0,18,0.011806728977151612
C,0,19,0.026160171847380967
C,0,20,0.044218220545133954
C,0,21,0.041898887850291125
C,0,22,0.05079139939621084
C,0,23,0.08309654737098283
C,0,24,0.08461707582840003
C,0,25,0.06644145084915785
C,0,26,0.05571209297243562
C,0,27,0.07141999839323143
C,0,28,0.07257652936876687
C,0,29,0.07301416658489178
C,0,30,0.041529635605789775
C,0,31,0.01940432173232582
C,0,32,0.019370754606548368
C,0,33,0.019491289886432787
C,0,34,0.017711424628430332
C,0,35,0.027817672571846183
C,0,36,0.030119263678334715
C,0,37,0.022930831993110988
C,0,38,0.03204471458491173
C,0,39,0.03279724181214641
C,0,40,0.033998870852115955
C,0,41,0.015538371278556262
C,0,42,0.002546335057996191
C,0,43,0.00010112731189692548
C,0,44,5.988932603924265e-07
C,0,45,0.0
C,0,46,0.0
C,0,47,0.0
C,1,0,0.0
C,1,1,0.0
C,1,2,0.0
C,1,3,0.0
C,1,4,0.0
C,1,5,0.0
C,1,6,0.0
C,1,7,0.0
C,1,8,0.0
C,1,9,0.0
C,1,10,0.0
C,1,11,0.0
C,1,12,0.0
C,1,13,0.0
C,1,14,0.0
C,1,15,0.0
C,1,16,1.4910649943944928e-06
C,1,17,0.0002466686569104765
C,1,18,0.00550134016844513
C,1,19,0.020965292532823795
C,1,20,0.038885499027253266
C,1,21,0.0654367064714137
C,1,22,0.05649950885055907
C,1,23,0.056681001033833146
C,1,24,0.09300466750659245
C,1,25,0.10761234322276533
C,1,26,0.05642792612636238
C,1,27,0.040133967779281514
C,1,28,0.04247754864782844
C,1,29,0.048673637895954094
C,1,30,0.035672394050709974
C,1,31,0.025991365226817807
C,1,32,0.023683076765743813
C,1,33,0.02400461295524881
C,1,34,0.032058754435615275
C,1,35,0.04533874475870705
C,1,36,0.05242216880509906
C,1,37,0.03159930097586184
C,1,38,0.02132584979972818
C,1,39,0.021011780718439753
C,1,40,0.023578637045235044
C,1,41,0.015100699695193537
C,1,42,0.0035873397755985742
C,1,43,0.0014420500436578296
C,1,44,0.004645074362509135
C,1,45,0.004644147790599457
C,1,46,0.0012880799192774065
C,1,47,5.832389094041783e-05
C,2,0,0.0
C,2,1,0.0
C,2,2,0.0
C,2,3,0.0
C,2,4,0.0
C,2,5,0.0
C,2,6,0.0
C,2,7,0.0
C,2,8,0.0
C,2,9,0.0
C,2,10,0.0
C,2,11,0.0
C,2,12,0.0
C,2,13,0.0
C,2,14,1.037064451804066e-06
C,2,15,0.00017240091065858553
C,2,16,0.003963666331741215
C,2,17,0.017461317901084766
C,2,18,0.03373790925834367
C,2,19,0.04187639822044347
C,2,20,0.04349468376068556
C,2,21,0.07560756209337188
C,2,22,0.05637313853260531
C,2,23,0.034131057170514505
C,2,24,0.057677231344693505
C,2,25,0.10353746597289891
C,2,26,0.055933738164708875
C,2,27,0.03666850203459037
C,2,28,0.03865614769567348
C,2,29,0.04408194009864982
C,2,30,0.03781006079832195
C,2,31,0.04199258242189044
C,2,32,0.025998528857552654
C,2,33,0.02133897016981456
C,2,34,0.032955491378744324
C,2,35,0.04342606698743793
C,2,36,0.03545834563009774
C,2,37,0.027077049002609255
C,2,38,0.02711368201620014
C,2,39,0.02577596998191861
C,2,40,0.017892202509502814
C,2,41,0.01505017469980434
C,2,42,0.004528270135414291
C,2,43,0.00020715285529459535
C,2,44,1.256000280518258e-06
C,2,45,0.0
C,2,46,0.0
C,2,47,0.0
C,3,0,0.0
C,3,1,0.0
C,3,2,0.0
C,3,3,0.0
C,3,4,0.0
C,3,5,0.0
C,3,6,0.0
C,3,7,0.0
C,3,8,0.0
C,3,9,0.0
C,3,10,5.135854919944287e-07
C,3,11,8.441136438481991e-05
C,3,12,0.0018030825873737767
C,3,13,0.00509744868075791
C,3,14,0.003868699505796185
C,3,15,0.005886147633592543
C,3,16,0.003658962637279137
C,3,17,0.006504427925328524
C,3,18,0.011607319894251908
C,3,19,0.01939217366973271
C,3,20,0.030788387801326707
C,3,21,0.048371952926178644
C,3,22,0.05259428213452799
C,3,23,0.048222385976624926
C,3,24,0.0407982112342915
C,3,25,0.06210415563641704
C,3,26,0.05934462849553494
C,3,27,0.03459615440791203
C,3,28,0.05107327691002812
C,3,29,0.10204406162115381
C,3,30,0.04652471604980615
C,3,31,0.01884169927936281
C,3,32,0.020538058347107934
C,3,33,0.02299101413500756
C,3,34,0.020316198768882472
C,3,35,0.027339984777795645
C,3,36,0.0257236453158244
C,3,37,0.024375865260735353
C,3,38,0.04499716089872389
C,3,39,0.07243689698455393
C,3,40,0.04980749219939738
C,3,41,0.029878265061223343
C,3,42,0.008025204518276314
C,3,43,0.00036093103697646095
C,3,44,2.1827383409763216e-06
C,3,45,0.0
C,3,46,0.0
C,3,47,0.0
C,4,0,0.0
C,4,1,0.0
C,4,2,0.0
C,4,3,0.0
C,4,4,0.0
C,4,5,0.0
C,4,6,0.0
C,4,7,0.0
C,4,8,0.0
C,4,9,0.0
C,4,10,5.42831808469834e-07
C,4,11,8.921820086170774e-05
C,4,12,0.0019059123162538363
C,4,13,0.005412940031594855
C,4,14,0.004648048346879317
C,4,15,0.008148862116031086
C,4,16,0.004202185272236904
C,4,17,0.0019354113120543302
C,4,18,0.008945648095286253
C,4,19,0.023577770770659992
C,4,20,0.03909695387107067
C,4,21,0.06149743010398644
C,4,22,0.0478531870566204
C,4,23,0.05821195485052984
C,4,24,0.08479869722544307
C,4,25,0.07858018103104564
C,4,26,0.04813483085222685
C,4,27,0.04544384528082107
C,4,28,0.04901775370463625
C,4,29,0.053588716851753426
C,4,30,0.06755833956483773
C,4,31,0.07706223901654646
C,4,32,0.04167531553231679
C,4,33,0.025371219331684434
C,4,34,0.02714565113924704
C,4,35,0.026886561032712517
C,4,36,0.02183701911158907
C,4,37,0.018413073673186776
C,4,38,0.020037795633703975
C,4,39,0.018432590085235866
C,4,40,0.02147544612821728
C,4,41,0.008161196898752233
C,4,42,0.0008272304537727775
C,4,43,2.6085034995293496e-05
C,4,44,1.472414014831662e-07
C,4,45,0.0
C,4,46,0.0
C,4,47,0.0
C,5,0,0.0
C,5,1,0.0
C,5,2,0.0
C,5,3,0.0
C,5,4,0.0
C,5,5,0.0
C,5,6,0.0
C,5,7,0.0
C,5,8,0.0
C,5,9,0.0
C,5,10,0.0
C,5,11,0.0
C,5,12,7.423243112998613e-07
C,5,13,0.00012200618769332919
C,5,14,0.00260528213118476
C,5,15,0.007228838733552137
C,5,16,0.002763997462145186
C,5,17,0.004247492547011117
C,5,18,0.027369111698500766
C,5,19,0.058741668172205205
C,5,20,0.04301065368057223
C,5,21,0.04663937412477533
C,5,22,0.05868193566315514
C,5,23,0.0788240860749895
C,5,24,0.08595137100468103
C,5,25,0.08920417251636414
C,5,26,0.07947486814576263
C,5,27,0.09195010600479987
C,5,28,0.08675424555888055
C,5,29,0.04076929850740092
C,5,30,0.007781243793558199
C,5,31,0.0030023785591292663
C,5,32,0.00897001019978866
C,5,33,0.011891458698855282
C,5,34,0.016207258550749965
C,5,35,0.009800512862380274
C,5,36,0.015298750366914964
C,5,37,0.016347122427451892
C,5,38,0.02197768993108294
C,5,39,0.029517894346746475
C,5,40,0.026507501560490226
C,5,41,0.013899011696819032
C,5,42,0.010900116852348093
C,5,43,0.0034021509113231936
C,5,44,0.00015669761289945224
C,5,45,9.510914769964376e-07
C,5,46,0.0
C,5,47,0.0
C,6,0,0.0
C,6,1,0.0
C,6,2,0.0
C,6,3,0.0
C,6,4,0.0
C,6,5,0.0
C,6,6,0.0
C,6,7,0.0
C,6,8,0.0
C,6,9,0.0
C,6,10,0.0
C,6,11,0.0
C,6,12,0.0
C,6,13,0.0
C,6,14,0.0
C,6,15,0.0
C,6,16,0.0
C,6,17,0.0
C,6,18,0.0
C,6,19,0.0
C,6,20,0.0
C,6,21,0.0
C,6,22,1.0177414964093922e-05
C,6,23,0.0016866626316809623
C,6,24,0.038031243251255446
C,6,25,0.15166501325330492
C,6,26,0.2511301247483957
C,6,27,0.30239004137675696
C,6,28,0.184696608604482
C,6,29,0.060420190531761384
C,6,30,0.00958606421597895
C,6,31,0.0003816123236498268
C,6,32,2.261647769798649e-06
C,6,33,0.0
C,6,34,0.0
C,6,35,0.0
C,6,36,0.0
C,6,37,0.0
C,6,38,0.0
C,6,39,0.0
C,6,40,0.0
C,6,41,0.0
C,6,42,0.0
C,6,43,0.0
C,6,44,0.0
C,6,45,0.0
C,6,46,0.0
C,6,47,0.0
D,0,0,0.0
D,0,1,0.0
D,0,2,0.0
D,0,3,0.0
D,0,4,0.0
D,0,5,0.0
D,0,6,0.0
D,0,7,0.0
D,0,8,0.0
D,0,9,0.0
D,0,10,0.0
D,0,11,0.0
D,0,12,0.0
D,0,13,0.0
D,0,14,6.603539284691519e-07
D,0,15,0.00010853378249158479
D,0,16,0.0023214239441701765
D,0,17,0.007060099309116434
D,0,18,0.0159656225623721
D,0,19,0.04279806725288065
D,0,20,0.04633533996914612
D,0,21,0.06852540042170804
D,0,22,0.05131337173136269
D,0,23,0.0508716730249648
D,0,24,0.06008682939790304
D,0,25,0.06686765689605999
D,0,26,0.0551397822601839
D,0,27,0.04352330814318083
