Portfolio,dow,slot,cct_profile
A,3,11,318.1272863001213
A,3,12,306.70250052076403
A,3,13,291.08959941033083
A,3,14,302.62318400274364
A,3,15,290.62120143152254
A,3,16,288.8915609200483
A,3,17,305.25004323951623
A,3,18,312.97718497458277
A,3,19,309.8310414939341
A,3,20,305.57098312590756
A,3,21,309.770025307996
A,3,22,311.40436220789957
A,3,23,313.62262937127946
A,3,24,313.30611115467485
A,3,25,308.6399053217434
A,3,26,313.83068118837275
A,3,27,320.1120345834013
A,3,28,321.9660294715435
A,3,29,324.7533586948964
A,3,30,328.11159557763756
A,3,31,328.2944520380827
A,3,32,326.53184349954716
A,3,33,324.0704330929641
A,3,34,323.5497215194007
A,3,35,323.381867928591
A,3,36,323.1217363838385
A,3,37,321.34473556580406
A,3,38,322.12334739875496
A,3,39,310.89052958154525
A,3,40,314.708850977719
A,3,41,320.66259435182724
A,3,42,303.70285673918477
A,3,43,304.8582059207205
A,3,44,295.88625479244524
A,3,45,296.4729601937739
A,3,46,310.38994576828173
A,3,47,330.4923135025914
A,4,0,387.2655033544628
A,4,1,336.54786496873703
A,4,2,277.6326429224215
A,4,3,245.69306966021514
A,4,4,247.4789925005226
A,4,5,226.3714908839897
A,4,6,158.99136076723732
A,4,7,108.0367215918295
A,4,8,124.1419513852016
A,4,9,273.3814885557164
A,4,10,273.5076967562317
A,4,11,212.7318353976595
A,4,12,218.45001422853278
A,4,13,264.3779987338968
A,4,14,289.3413089421251
A,4,15,293.79436858741985
A,4,16,284.86384817980945
A,4,17,291.8308519357061
A,4,18,301.5828965333558
A,4,19,309.00124195025955
A,4,20,315.9901848748809
A,4,21,318.29191625447004
A,4,22,318.37061363218197
A,4,23,316.49239475108305
A,4,24,314.91240435730276
A,4,25,323.0265770275108
A,4,26,328.81815074930705
A,4,27,326.32412997325264
A,4,28,324.530792626569
A,4,29,324.244963048407
A,4,30,320.4696492243826
A,4,31,324.9146689596878
A,4,32,328.01907767775845
A,4,33,329.5398525187662
A,4,34,326.8635193649484
A,4,35,323.3798762139968
A,4,36,327.1721524171876
A,4,37,341.9054214663319
A,4,38,343.39848229758974
A,4,39,330.76535038793315
A,4,40,323.83614232044533
A,4,41,315.32250399754355
A,4,42,317.96408583376694
A,4,43,307.9527934695556
A,4,44,313.65988851499685
A,4,45,332.7154549929239
A,4,46,303.30597111009877
A,4,47,243.2148341017915
A,5,0,356.8951467318354
A,5,1,364.1606777529412
A,5,2,359.4111548420726
A,5,3,345.7458429712571
A,5,4,227.3736662162508
A,5,5,203.77362912615138
A,5,6,249.81019959711978
A,5,7,191.66032136002508
A,5,8,166.29851165468926
A,5,9,195.05296767911338
A,5,10,223.7539609795333
A,5,11,185.9119067212313
A,5,12,233.98819552045984
A,5,13,272.4107568456494
A,5,14,257.3169393063958
A,5,15,277.26609523981335
A,5,16,265.3581675691032
A,5,17,274.7593157816104
A,5,18,275.34694008238637
A,5,19,274.9810058999744
A,5,20,284.70313651902086
A,5,21,290.66958833935445
A,5,22,290.46556384761925
A,5,23,290.11151742115214
A,5,24,298.781047199341
A,5,25,300.842355901784
A,5,26,306.6759188502649
A,5,27,311.77339015236834
A,5,28,312.7561188392243
A,5,29,309.9490399920851
A,5,30,305.92218489048855
A,5,31,312.7714400547072
A,5,32,316.45741834970505
A,5,33,303.36431294052187
A,5,34,308.45156115893144
A,5,35,316.61920099316956
A,5,36,321.57202975994164
A,5,37,326.68410918711237
A,5,38,320.3054267092
A,5,39,315.39757243622216
A,5,40,296.07181310030853
A,5,41,284.44412789017395
A,5,42,296.937536749552
A,5,43,317.0475705504912
A,5,44,346.6434361315439
A,5,45,320.8975559125263
A,5,46,316.2852565355859
A,5,47,278.3487064592365
A,6,0,387.91322630135005
A,6,1,408.2203368756565
A,6,2,375.88509267590825
A,6,3,327.45900509850924
A,6,4,296.55872865606875
A,6,5,273.3745404650599
A,6,6,238.68137204415632
A,6,7,254.8374968526454
A,6,8,332.50177624446263
A,6,9,286.71585542204207
A,6,10,283.70525196468634
A,6,11,310.1327797102483
A,6,12,267.9400764729449
A,6,13,243.1882413371781
A,6,14,285.9745521104332
A,6,15,311.6764475216321
A,6,16,275.5172889942734
A,6,17,269.13939450953217
A,6,18,263.1435005033485
A,6,19,284.714366896902
A,6,20,288.0264803006828
A,6,21,282.34127266315943
A,6,22,284.8428531002346
A,6,23,289.5175807533147
A,6,24,288.0856595962819
A,6,25,288.87807778152234
A,6,26,290.2184246362985
A,6,27,289.23906453219774
A,6,28,293.78158725230696
A,6,29,296.6841033482006
A,6,30,297.63002054519177
A,6,31,292.5455643056945
A,6,32,285.89720949880086
A,6,33,277.3004187898754
A,6,34,276.10559636835126
A,6,35,278.07140104075296
A,6,36,291.59761319519635
A,6,37,284.4584033504242
A,6,38,276.7445417733816
A,6,39,273.4231900589433
A,6,40,288.1106464361073
A,6,41,289.52533296331427
A,6,42,297.2387761722873
A,6,43,319.04540394999106
A,6,44,288.70288784452686
A,6,45,303.20114898529425
A,6,46,336.08968252689425
A,6,47,295.8465122322157
B,0,0,340.05866294420105
B,0,1,329.4744380757018
B,0,2,350.3422469303704
B,0,3,341.58756474946205
B,0,4,293.68520769063923
B,0,5,293.6421904843141
B,0,6,341.6727439572071
B,0,7,409.3191357544995
B,0,8,327.30571931555744
B,0,9,302.63590106098167
B,0,10,373.02323767912753
B,0,11,390.12675333001386
B,0,12,283.08800439076856
B,0,13,301.5957557053822
B,0,14,284.6131617094132
B,0,15,273.21662762842215
B,0,16,280.5692504936173
B,0,17,293.9351668931445
B,0,18,305.1059232603428
B,0,19,313.9624042377055
B,0,20,320.1830219899752
B,0,21,329.74272236275806
B,0,22,337.19486768757844
B,0,23,340.84187170629554
B,0,24,340.21638203503574
B,0,25,343.57610284115174
B,0,26,343.09798542538533
B,0,27,337.0872790337497
B,0,28,337.1706632222376
B,0,29,340.070982473972
B,0,30,341.08578705915903
B,0,31,341.131483149428
B,0,32,345.1272037964387
B,0,33,348.56156789115755
B,0,34,347.3821419924303
B,0,35,349.72991063263254
B,0,36,349.20400594424814
B,0,37,347.59705723678053
B,0,38,344.1268425720614
B,0,39,336.33974729304055
B,0,40,332.7231603923858
B,0,41,328.55735611223474
B,0,42,326.43580237530387
B,0,43,330.56405708192915
B,0,44,325.06756502605623
B,0,45,315.4485014512053
B,0,46,297.8853485259931
B,0,47,288.5804863985049
B,1,0,300.2879941288302
B,1,1,305.0725986305078
B,1,2,310.60794799469494
B,1,3,298.33714547354043
B,1,4,309.06593269720906
B,1,5,350.94338037496846
B,1,6,314.5590815177317
B,1,7,239.18312732936982
B,1,8,190.2598407791782
B,1,9,202.60476807245416
B,1,10,188.36449319401635
B,1,11,226.10855556727876
B,1,12,267.8342008001647
B,1,13,288.90868324569817
B,1,14,273.51262849972585
B,1,15,275.3001680398826
B,1,16,283.479827291588
B,1,17,298.6060435770831
B,1,18,305.5074216836529
B,1,19,314.3459620013462
B,1,20,320.01665413368346
B,1,21,327.49365670688456
B,1,22,332.5975002819994
B,1,23,335.25363537444605
B,1,24,341.2653188643882
B,1,25,344.51925802192613
B,1,26,344.59727942946506
B,1,27,340.55929092892063
B,1,28,339.2141907383261
B,1,29,341.4821911829695
B,1,30,339.1872457419816
B,1,31,338.7663806087913
B,1,32,345.06742245686803
B,1,33,347.3885964725185
B,1,34,349.35674777738404
B,1,35,348.74037210118695
B,1,36,344.2195735100723
B,1,37,340.9919380826506
B,1,38,337.9791195900178
B,1,39,336.95492792611196
B,1,40,331.3998437481917
B,1,41,325.7694766009459
B,1,42,323.41044322739475
B,1,43,324.79608911411185
B,1,44,327.42460354488765
B,1,45,320.8711815438545
B,1,46,309.4073349695055
B,1,47,290.94992642159565
B,2,0,302.09375947683446
B,2,1,296.90218517754334
B,2,2,273.32861476812934
B,2,3,256.01533255851587
B,2,4,312.72509615320996
B,2,5,342.2721827255086
B,2,6,344.4467305560556
B,2,7,295.45943277472946
B,2,8,278.87780139820563
B,2,9,283.15763382936757
B,2,10,358.4336469059956
B,2,11,395.02668822572264
B,2,12,336.1836106563726
B,2,13,272.20390509471645
B,2,14,246.96083576962945
B,2,15,277.78415788097993
B,2,16,290.753614724824
B,2,17,297.7724193075475
B,2,18,304.25982732878316
B,2,19,310.2373486983311
B,2,20,316.9156780204144
B,2,21,328.16489655025
B,2,22,334.5433344041636
B,2,23,336.3351183773452
B,2,24,337.46281286730135
B,2,25,337.5728841936467
B,2,26,330.92796435912044
B,2,27,332.80268690717696
B,2,28,336.45825969636087
B,2,29,340.7629486383678
B,2,30,338.5186134819043
B,2,31,337.46678328855694
B,2,32,336.8248397528845
B,2,33,338.67176665373574
B,2,34,340.0898575452846
B,2,35,338.62938481376057
B,2,36,336.4201525904565
B,2,37,336.4783530175265
B,2,38,337.4120469674028
B,2,39,338.98855099023046
B,2,40,336.46121845067444
B,2,41,329.99796407441454
B,2,42,327.46696813218944
B,2,43,325.60839829220384
B,2,44,308.7675863132339
B,2,45,305.44260343898526
B,2,46,300.87971629155015
B,2,47,299.72378787985696
B,3,0,290.42197102167484
B,3,1,279.2049972829948
B,3,2,275.1837241424085
B,3,3,305.42836494404946
B,3,4,355.7764631910826
B,3,5,355.0373577906205
B,3,6,278.2047451834486
B,3,7,257.60790485802437
B,3,8,303.29416086525595
B,3,9,444.8279627856669
B,3,10,307.01774832238414
B,3,11,254.50307095939542
B,3,12,258.7064118330219
B,3,13,321.1720307620686
B,3,14,293.64899700436985
B,3,15,284.85406409249157
B,3,16,296.90984844586757
B,3,17,305.0095336687964
B,3,18,305.3753316422702
B,3,19,310.8896776706947
B,3,20,316.82321295733436
B,3,21,327.66343946418925
B,3,22,332.6354157916139
B,3,23,329.711279403378
B,3,24,332.480497705464
B,3,25,337.7131865895125
B,3,26,333.7114197630634
B,3,27,330.8073370019933
B,3,28,334.1116240414184
B,3,29,337.1265802239333
B,3,30,340.27714648812446
B,3,31,341.231401650061
B,3,32,338.9509570869545
B,3,33,336.59441372108245
B,3,34,338.5728826153106
B,3,35,338.8947612863485
B,3,36,337.1615376743917
B,3,37,337.07442458229605
B,3,38,333.65934118870894
B,3,39,337.6607942969715
B,3,40,341.11991629250053
B,3,41,331.09853652892946
B,3,42,329.4450469736489
B,3,43,326.4418062620807
B,3,44,317.80880199365185
B,3,45,309.8582916646902
B,3,46,309.2650943790558
B,3,47,300.06148590670705
B,4,0,299.43995446616435
B,4,1,313.59759571004946
B,4,2,338.7199654683415
B,4,3,285.1433326257273
B,4,4,304.9676786186708
B,4,5,324.2410047740715
B,4,6,355.145108812075
B,4,7,344.67222901778837
B,4,8,270.5445587209773
B,4,9,217.8235790522852
B,4,10,233.08578122396236
B,4,11,238.67337498557856
B,4,12,271.1296045130889
B,4,13,300.35991404124957
B,4,14,270.4654790305341
B,4,15,266.5861915027277
B,4,16,276.6789713291089
B,4,17,295.4676575046116
B,4,18,312.4384892563902
B,4,19,318.8632219868836
B,4,20,324.3516903275688
B,4,21,325.35421721443305
B,4,22,329.52074824096223
B,4,23,337.1847413485084
B,4,24,339.74196668078775
B,4,25,341.6944589725198
B,4,26,334.66742178882123
B,4,27,332.8605991913838
B,4,28,338.8310145140965
B,4,29,340.347389508662
B,4,30,342.34146531198957
B,4,31,341.53710533963454
B,4,32,346.6440055459132
B,4,33,343.78540628635426
B,4,34,339.12820987434054
B,4,35,340.7597087958253
B,4,36,343.7048323422496
B,4,37,337.53319085695983
B,4,38,333.71821855443795
B,4,39,326.24709586940617
B,4,40,330.27197428848376
B,4,41,332.2867582574156
B,4,42,323.871105519211
B,4,43,315.60043726027783
B,4,44,311.8633465042647
B,4,45,307.26446414360885
B,4,46,314.1782536873272
B,4,47,308.56648113427104
B,5,0,298.1041874517857
B,5,1,321.31904658017345
B,5,2,329.15317193356464
B,5,3,288.75771244024577
B,5,4,267.6919852573803
B,5,5,254.82179755346968
B,5,6,248.33318391892226
B,5,7,165.77010201956466
B,5,8,155.46495619908347
B,5,9,271.36265923181963
B,5,10,260.79411478921736
B,5,11,271.8522798438121
B,5,12,327.7726170213845
B,5,13,321.0067456003304
B,5,14,292.53609370426113
B,5,15,301.3383762629387
B,5,16,299.4599029465078
B,5,17,300.36010662486103
B,5,18,291.0049933902685
B,5,19,297.84788518609105
B,5,20,305.757184014422
B,5,21,315.7881748408146
B,5,22,319.0067976157399
B,5,23,320.7829186079689
B,5,24,319.37221841498433
B,5,25,322.9023287515206
B,5,26,323.5267725159226
B,5,27,322.2151139017459
B,5,28,325.25675677901506
B,5,29,328.62019013279814
B,5,30,322.2170802412187
B,5,31,318.6129150266156
B,5,32,328.1059297023954
B,5,33,334.8311010330315
B,5,34,332.7185536706599
B,5,35,334.49542047241397
B,5,36,336.8686684744564
B,5,37,334.1782320285697
B,5,38,328.01638819394407
B,5,39,320.86814143529193
B,5,40,318.45842201349996
B,5,41,306.1317106330032
B,5,42,301.0164420656467
B,5,43,303.9588053852899
B,5,44,302.48830120620994
B,5,45,301.1683827877715
B,5,46,286.0885445171963
B,5,47,285.5715875821719
B,6,0,278.0657505550343
B,6,1,282.0256451011814
B,6,2,312.14526925150517
B,6,3,333.17450971642376
B,6,4,375.04845868976224
B,6,5,381.1079649121166
B,6,6,318.26683257872713
B,6,7,217.85792767244857
B,6,8,174.72012486527527
B,6,9,245.5475204530332
B,6,10,352.9684679978427
B,6,11,392.74161278450646
B,6,12,305.158465759299
B,6,13,277.34602960502747
B,6,14,276.64319951236735
B,6,15,281.30945351328836
B,6,16,271.4975167555003
B,6,17,285.90832737112
B,6,18,293.9171330693711
B,6,19,298.7097398248284
B,6,20,297.24445245795516
B,6,21,302.3705958851844
B,6,22,300.5984731206555
B,6,23,301.6417730293639
B,6,24,300.7821455918863
B,6,25,301.2681774897219
B,6,26,298.0009881576395
B,6,27,301.44884339994104
B,6,28,305.4493723352116
B,6,29,308.34346605256536
B,6,30,306.4942639637929
B,6,31,305.1238317720923
B,6,32,305.8725185598182
B,6,33,305.74642682680104
B,6,34,306.02052581583786
B,6,35,303.18034818973274
B,6,36,303.3611321740899
B,6,37,298.5439440414857
B,6,38,293.8146069370134
B,6,39,302.44657637436217
B,6,40,300.29817424987334
B,6,41,296.56794124484395
B,6,42,297.28331842508237
B,6,43,302.7058113354813
B,6,44,298.24683603354345
B,6,45,284.53345632888045
B,6,46,259.83829562160804
B,6,47,260.1637545968786
C,0,0,317.0673142426281
C,0,1,312.10514850450744
C,0,2,312.86199970395137
C,0,3,315.1822990439513
C,0,4,305.2632965672693
C,0,5,326.42523183547513
C,0,6,321.32362093525086
C,0,7,312.8955947727219
C,0,8,301.3077016384315
C,0,9,287.656324610518
C,0,10,295.3026915054611
C,0,11,265.40873606337186
C,0,12,255.61596605522197
C,0,13,269.7686126867155
C,0,14,256.81807819325536
C,0,15,261.18055332151255
C,0,16,280.4450987179672
C,0,17,295.73160467970183
C,0,18,310.61998295979356
C,0,19,323.49882695886674
C,0,20,327.8628959530844
C,0,21,335.3525965104327
C,0,22,343.0851049182618
C,0,23,346.75553863994736
C,0,24,345.92784283462845
C,0,25,347.4170147229415
C,0,26,350.722461885307
C,0,27,355.08776581378874
C,0,28,356.5824310259011
C,0,29,356.4901383638479
C,0,30,355.63143714113045
C,0,31,356.649484078812
C,0,32,354.57782432307033
C,0,33,355.1794383166725
C,0,34,355.08644911572696
C,0,35,354.6555338939113
C,0,36,354.7419314244318
C,0,37,358.45716887601435
C,0,38,361.7890509314652
C,0,39,360.1414047871575
C,0,40,357.4103285678382
C,0,41,351.44410391732526
C,0,42,345.9856785397171
C,0,43,338.8216348232576
C,0,44,333.40210132988994
C,0,45,325.8761834047698
C,0,46,324.8249004764092
C,0,47,336.03287238768814
C,1,0,335.4289732024905
C,1,1,333.9760737226721
C,1,2,326.31108377140043
C,1,3,298.8227061873703
C,1,4,286.99338634786426
C,1,5,279.46788743308474
C,1,6,283.2820135615937
C,1,7,295.7931390447586
C,1,8,297.0826234151342
C,1,9,279.91607939101056
C,1,10,283.288500295012
C,1,11,282.8890287566836
C,1,12,255.68856981595795
C,1,13,245.0983854011966
C,1,14,257.7313891357436
C,1,15,269.9413732560569
C,1,16,288.9354893950577
C,1,17,303.7352645956129
C,1,18,313.79445245933414
C,1,19,321.32616293819217
C,1,20,326.412985333327
C,1,21,333.1315607928842
C,1,22,337.61116206856747
C,1,23,339.1733554627864
C,1,24,341.5244005639444
C,1,25,345.04467437192443
C,1,26,346.2225057846644
C,1,27,348.86303133409217
C,1,28,351.3546539571498
C,1,29,354.728392747729
C,1,30,353.9478388234388
C,1,31,354.42408159691604
C,1,32,353.64310518806326
C,1,33,351.50847097322645
C,1,34,353.6021050341546
C,1,35,352.3867493221887
C,1,36,350.26051415292307
C,1,37,349.3676238661728
C,1,38,348.64736709413626
C,1,39,347.14619163310135
C,1,40,348.2226500726076
C,1,41,345.9979568902371
C,1,42,344.6476926498275
C,1,43,343.38399679957377
C,1,44,338.5710130457445
C,1,45,332.4157408863592
C,1,46,328.56982303532914
C,1,47,327.92277439270447
C,2,0,336.73846138963285
C,2,1,332.9014835840826
C,2,2,337.61743309238693
C,2,3,332.40107109579526
C,2,4,308.054405566529
C,2,5,295.987820771518
C,2,6,304.70684194199146
C,2,7,332.73511232714844
C,2,8,334.47930503855207
C,2,9,315.2382623370836
C,2,10,288.61343622550197
C,2,11,261.6119608877617
C,2,12,252.68005927449482
C,2,13,252.9157794530401
C,2,14,267.24822188843154
C,2,15,276.18615275307127
C,2,16,287.7636469331196
C,2,17,302.2549124443554
C,2,18,313.09386999584706
C,2,19,318.60291980270756
C,2,20,321.6014868337776
C,2,21,330.627666166631
C,2,22,336.5233180079469
C,2,23,339.50229916070714
C,2,24,339.47466364930744
C,2,25,342.1313825987364
C,2,26,341.1986321315028
C,2,27,340.7239450083662
C,2,28,342.6220946742135
C,2,29,344.90711543082267
C,2,30,348.401691025056
C,2,31,353.0949536285246
C,2,32,352.62899962031827
C,2,33,350.48021487413905
C,2,34,348.51084876425944
C,2,35,349.79943585497796
C,2,36,355.2787114745637
C,2,37,355.39412931812774
C,2,38,347.4782675982576
C,2,39,341.80993695837185
C,2,40,342.84258677211676
C,2,41,344.61180027995204
C,2,42,343.6929858721528
C,2,43,338.49966461151286
C,2,44,333.5856043686937
C,2,45,319.9625753695988
C,2,46,320.07727495195803
C,2,47,322.4915581923568
C,3,0,322.2745456641731
C,3,1,313.86298419727393
C,3,2,314.0353007306438
C,3,3,310.2153261090762
C,3,4,243.46128754626804
C,3,5,212.45045617944058
C,3,6,270.5591223301639
C,3,7,307.24887853752705
C,3,8,283.92911884815834
C,3,9,265.0377832705014
C,3,10,254.51126025318544
C,3,11,262.1681588174634
C,3,12,262.1179717164448
C,3,13,256.8272831173907
C,3,14,257.7973080437734
C,3,15,267.1558242673252
C,3,16,288.9860094407111
C,3,17,299.1937963772224
C,3,18,308.0181392119304
C,3,19,316.04308447036544
C,3,20,325.1582494557656
C,3,21,333.6305924887927
C,3,22,337.45544295722505
C,3,23,339.7024480357584
C,3,24,341.1040903711528
C,3,25,343.10362013276415
C,3,26,343.995683262812
C,3,27,341.7231310584233
C,3,28,344.1403341657767
C,3,29,347.3839151363105
C,3,30,346.97903428171526
C,3,31,347.621348774337
C,3,32,349.677033878962
C,3,33,352.42035680525896
C,3,34,349.34086939996996
C,3,35,347.1413646992694
C,3,36,350.07785241059673
C,3,37,353.20286264136854
C,3,38,350.9494299525944
C,3,39,355.03447961054525
C,3,40,351.5904525855784
C,3,41,345.84053649639276
C,3,42,345.3036592188481
C,3,43,343.2779317920838
C,3,44,329.74328503674803
C,3,45,324.0063600021522
C,3,46,324.7713316678773
C,3,47,321.84066455188326
C,4,0,343.9063608046712
C,4,1,325.09360050748893
C,4,2,319.70901370623767
C,4,3,313.09459777845353
C,4,4,313.4902954046007
C,4,5,328.8554436481741
C,4,6,338.22450637038907
C,4,7,349.14979278147445
C,4,8,309.78906047982707
C,4,9,309.9231572265996
C,4,10,307.6310645053136
C,4,11,300.13950815857396
C,4,12,277.5269273376228
C,4,13,264.02143780631343
C,4,14,262.8168239625088
C,4,15,264.3181812267016
C,4,16,278.9342699960083
C,4,17,296.6731263969399
C,4,18,303.5487634239382
C,4,19,307.44821202656794
C,4,20,317.82392181336115
C,4,21,326.28849121900953
C,4,22,332.78354486210594
C,4,23,334.3743059604277
C,4,24,334.3764971302093
C,4,25,337.7100866484401
C,4,26,344.3410724025482
C,4,27,345.21346289602616
C,4,28,345.68001763729114
C,4,29,344.5914581708321
C,4,30,344.93018436750856
C,4,31,346.3022090006168
C,4,32,346.39443972811205
C,4,33,346.2832214118662
C,4,34,346.5250980009994
C,4,35,347.37150891583065
C,4,36,349.40915277610753
C,4,37,348.6518726572202
C,4,38,342.5738181616273
C,4,39,343.64654774476844
C,4,40,340.74842493418305
C,4,41,335.77933428251356
C,4,42,336.7791588169069
C,4,43,334.65238739130916
C,4,44,332.5618584826988
C,4,45,330.7364604668129
C,4,46,321.75136340509596
C,4,47,307.2309571671675
C,5,0,314.625387050387
C,5,1,316.51335227337995
C,5,2,324.43442685881996
C,5,3,317.79194012286325
C,5,4,311.094161599824
C,5,5,319.9809299996103
C,5,6,303.92255748552753
C,5,7,293.792397309891
C,5,8,326.8924544299276
C,5,9,324.816368264516
C,5,10,324.9842788438291
C,5,11,302.8535119930884
C,5,12,286.0776196082878
C,5,13,269.5885786281945
C,5,14,257.42098705108265
C,5,15,258.0708979583554
C,5,16,269.8685374332705
C,5,17,286.7324158216104
C,5,18,293.11058968808925
C,5,19,304.2231680484292
C,5,20,311.75914618167485
C,5,21,320.3366228094924
C,5,22,324.3634658992632
C,5,23,329.23375293976534
C,5,24,330.4975750391239
C,5,25,330.32594133432826
C,5,26,332.74397242984173
C,5,27,334.6587288281539
C,5,28,335.0778489735493
C,5,29,334.0488816565966
C,5,30,335.54614244920504
C,5,31,333.3544585230545
C,5,32,334.63877227437786
C,5,33,333.6704624556241
C,5,34,335.27646155228285
C,5,35,335.06824961679314
C,5,36,334.5172247811992
C,5,37,337.14530621211236
C,5,38,336.41079675018705
C,5,39,334.51140398334724
C,5,40,334.9494568207567
C,5,41,333.09545057607943
C,5,42,332.0615776485302
C,5,43,326.88458323963505
C,5,44,317.2800718413483
C,5,45,312.16090959247265
C,5,46,309.98691735067143
C,5,47,307.22125777155077
C,6,0,306.67321964062614
C,6,1,314.4729870508107
C,6,2,292.4984558716314
C,6,3,285.114940954557
C,6,4,298.14159798023724
C,6,5,301.1176920138454
C,6,6,319.5568102679741
C,6,7,364.3295157274456
C,6,8,387.7529318544043
C,6,9,365.0309802026288
C,6,10,322.72031566367156
C,6,11,267.80335407542145
C,6,12,258.61169204528574
C,6,13,257.62506083390485
C,6,14,261.4944101091002
C,6,15,264.4592711076548
C,6,16,271.58589145915806
C,6,17,283.5818967649616
C,6,18,292.47272214569557
C,6,19,290.3639638689937
C,6,20,290.90961747761713
C,6,21,297.2914468433605
C,6,22,307.1785272714928
C,6,23,309.3139436754974
C,6,24,307.2913472788317
C,6,25,308.5504028499144
C,6,26,315.78594935902623
C,6,27,317.45794316242973
C,6,28,319.6655753506899
C,6,29,319.40739845682094
C,6,30,321.4992976451919
C,6,31,320.86484651588427
C,6,32,318.23693722947075
C,6,33,322.4285864745792
C,6,34,321.0390001476165
C,6,35,315.82391498688315
C,6,36,316.46436183506466
C,6,37,316.4516886712651
C,6,38,318.08763454722316
C,6,39,316.4866347291609
C,6,40,309.8559272583544
